问题,答案
问题:在拟定多品种加工机床结构方案时，应当如何做以提高结构布局的灵活性？,答案:在拟定多品种加工机床结构方案时，应当适当的多采用单轴刚性加工的分散配置型式，使机床在结构布局上具有较大的灵活性，便于调整。
问题:在确定机床工艺方案和结构型式时，应尽量做什么？,答案:在确定机床工艺方案和结构型式时，应尽量减少调整环节。特别是保证机床加工精度的主要环节。
问题:应当重视什么是否影响加工精度？,答案:应当重视机床调整是否影响加工精度。若精度要求很高时，一般不宜采取可调整的组合机床。
问题:借助多次安装可以实现什么？,答案:借助多次安装可以增加零件的加工面数或工序数，在一台机床上平行加工几个同样的工件，从而可以完成更多工序。
问题:图 2-75 所示的机床可以加工什么？,答案:图 2-75 所示的机床可以加工铸铭铸铁双金属气缸盖。
问题:一次安装可以对几个工件进行加工？,答案:每个动力头的主轴箱可以同时对三个工件进行加工。
问题:工件需要安装几次才能完成所有工序？,答案:工件需要安装两次才能完成所有工序。
问题:图2-76所示机床用于加工什么部件？,答案:图2-76所示机床用于加工滤油器壳体。
问题:图2-77所示机床可以同时安装几个输入轴？,答案:图2-77所示机床可以同时安装四个输入轴。
问题:图2-78所示机床使用了什么设备来实现多工序加工？,答案:图2-78所示机床使用了回转工作台和回转夹具来实现多工序加工。
问题:图2-79所示的加工方法使用了什么换刀方式？,答案:手动换刀
问题:图2-80所示的机床用于加工什么部件？,答案:车床走刀箱
问题:图2-80所示的机床有多少个工位？,答案:双工位
问题:图2-80所示的机床可以完成多少个工序？,答案:四个工序
问题:图2-80所示的机床如何实现工件的装卸？,答案:在双工位回转工作台上，安装一个双位上下两层的夹具。
问题:图2-80所示的机床如何实现动力头的运动？,答案:动力头在主轴箱上有适应四个位置加工需要的四组刀具，机床工作循环为：动力头前进进行加工，退回原位后工作台回转180°进行下一道工序，然后工作台回转原位进行工件的装卸。
问题:第二个工件在哪个位置上进行第二工序加工？,答案:第二个工件在夹具的下位下层刀进行第二工序加工。
问题:每小时能加工多少件C620-1走刀箱？,答案:每小时能加工一件C620-1走刀箱。
问题:对于只需要从一面进行四序加工的工件，采用什么类型的机床比较方便？,答案:对于只需要从一面进行四序加工的工件，采用立式机床加工比较方便。
问题:对于外形尺寸较大的工件，不适宜采用什么方案？,答案:对于外形尺寸较大的工件，不适宜采用多工位回转工作台的方案。
问题:采用立式机床顺序完成四序加工的方法是什么？,答案:采用立式机床顺序完成四序加工的方法是：先把工件装在夹具的左面位置上，完成第一序加工；再将工作台移至第二工位，完成第二序加工；将工作台返回第一工位，将第一个工件换装在夹具右面位置上，在左面装上新工件，动力头前进对第一工件完成第三序加工，对第二工件完成第一序加工；将工作台移至第二工位，动力头对第一工件完成第四序精加工，对第二个工件完成第二序加工。
问题:多工序加工机床如何提高利用率？,答案:通过将粗精加工合并在一起进行，能够保证机床有较高的利用率。
问题:如何安排卧式双层夹具的多工序机床的工序？,答案:将粗加工及重切削工序放在下层，精加工及负荷较轻的工序放在上层，对持久保持精度有利。
问题:在拟定尺寸很大的工件的加工方案时，应该注意什么？,答案:应当特别注意两次安装是否会使机床过庞大，操作不便，装卸工件困难。
问题:对于双层夹具，工件尺寸有何限制？,答案:工件尺寸不宜太大，因为会使主轴箱很高，工作情况不好，装卸工件也不方便。
问题:如何提高组合机床的利用率？,答案:通过多品种加工和多工序加工方法，可以提高组合机床的利用率，使其在中小批生产中推广使用。
问题:中小批生产用组合机床的局限性体现在哪些方面？,答案:中小批生产用组合机床常常是比较庞大，可变性差，不适于产品更新。此外，局限性也较大，还不能很好地满足中小批生产需要。
问题:如何理解自然界和人类的发展？,答案:在生产斗争和科学实验范围内，人类总是不断发展的，自然界也总是不断发展的，永远不会停止在一个水平上。]
问题:带转塔式主轴箱的组合机床有哪些配置型式？,答案:带转塔式主轴箱的组合机床有两种配置型式：一种是将主轴箱安装在回转工作台上，转塔主轴箱不作进给运动，而被加工零件装在能实现进给运动的滑台上；另一种是转塔式主轴箱安装在进给滑台上，加工时工件不动，而转塔式主轴箱实现进给运动。
问题:转塔式主轴箱的组合机床配合什么夹具可以实现多面多工序的加工？,答案:转塔式主轴箱的组合机床配上回转式夹具，就可以对工件进行多面多工序的加工。
问题:带回转式可换主轴箱的组合机床适用于什么样的加工需求？,答案:带回转式可换主轴箱的组合机床适用于工件有更多的工序要加工，需要比较多的主轴箱的情况。
问题:带回转式可换主轴箱的组合机床如何实现主轴箱的更换？,答案:在立式机床旁边设置专用的贮存及更换主轴箱的装置，按规定的工作循环，这个装置从机床卸走已用过的主轴箱，而把需要用的主轴箱装到机床的动力头上。
问题:什么是环形主轴箱贮存及更换装置？,答案:环形主轴箱贮存及更换装置是一种采用环形的主轴箱贮存及更换装置，直接围绕机床立柱进行间歇回转，使要用的主轴箱处于动力头的下方，由动力头带动主轴箱对固定在夹具上的工件进行加工的方案。
问题:带移动式可换主轴箱的组合机床的结构型式有哪些？,答案:带移动式可换主轴箱的组合机床的结构型式有两种：一种是往复式主轴箱贮存更换系统，如图 2-85 所示；另一种是移动式主轴箱更换系统。
问题:加工过程完成后，如何对主轴箱进行更换？,答案:加工过程完成后，使用过的主轴箱与从拧存库中取出的主轴箱进行对换。
问题:动力头在更换主轴箱后会做什么？,答案:动力头在更换主轴箱后会进入工作位置，而运输机构会回到贮存库的另一位置，替换主轴箱为需用的。
问题:可以采用什么系统对更换主轴箱等动作进行操作？,答案:可以采用程序控制系统对更换主轴箱等动作进行操作。
问题:内夹具安装在哪里？,答案:内夹具安装在移动工作台4或回转台5上。
问题:主轴箱可以用于做什么？,答案:主轴箱可以用于加工某一工件。
问题:如果需要改装设备，主轴箱需要多长时间进行改装？,答案:主轴箱可以在短时间内进行改装。
问题:采用循环式主轴箱贮存的机床可以用于什么？,答案:采用循环式主轴箱贮存的机床可以用于一台机床完成全部工序，起到一条流水线的作用。
问题:什么情况下需要自动变换机床工作循环、切削用量及准确变换工件待加工的部位？,答案:如果需要一台机床能完成很多工序，就需要自动变换机床工作循环、切削用量及准确变换工件待加工的部位。
问题:组合机床采用自动换刀的办法有什么优势？,答案:组合机床采用自动换刀的办法，可以使一台机床能完成很多工序，也是使组合机床在中小批甚至单件生产中推广使用的一种有效方法。
问题:自动换刀机床有多种配置方案，可以用于什么场合？,答案:自动换刀机床有多种配置方案，可以用于加工一些小批量、多工序、高精度的多边体工件的场合。
问题:什么是自动换刀办法，它有什么优缺点？,答案:自动换刀办法是一种在机床完成一个工作循环后，回转头按规定顺序自动转位，使相应刀具对准工件进行加工的方法。这种办法结构比较简单，但刀具数量不宜很多，复杂刀具较多时，应设有专门的刀具贮存库及自动更换装置。
问题:图2-88所示机床用于加工什么部件，它采用什么方式进行自动换刀？,答案:图2-88所示机床用于加工机床床身的钻孔，采用帮拧刀鼓轮自动换刀的组合机床方式进行自动换刀。在多边形肝刀鼓轮的每个边上放有完成相应工序的各组刀具。
问题:图2-89所示机床采用了什么驱动方式和控制系统？,答案:图2-89所示机床采用液压驱动方式，全部循环的操纵采用自动控制系统。
问题:什么是动力头上方的刀具拧存机构？,答案:刀具拧存机构设在动力头上方，并由机械手实现刀具的自动更换。
问题:这种机床采用什么控制系统？,答案:这种机床采用程控控制系统，使机床全自动工作，适用于加工中小批量生产中小型箱体件。
问题:机床的主要部件有哪些？,答案:机床的主要部件有带转塔刀架的动力头、自动换刀机械手、移动工作台、回转台和被加工零件的安装夹具。
问题:被加工零件如何进行加工？,答案:被加工零件安装在回转台的夹具上，并自动使需加工表面朝向动力头进给方向。动力头的转塔刀架将第一把所用刀具转至水平位置，与动力头的驱动轴接通，对零件进行加工。
问题:如何进行刀具更换？,答案:在加工完毕动力头返回时，转塔刀架回转180°并定位，原来在上方的倾斜主轴就转到水平工作位置，进行下一工序的加工。由贮刀器上的机械手先取下倾斜主轴上用过的刀具，将其插入拧存器的规定位置，然后贮刀器转位，将需用刀具转到换刀位置，机械手将此刀具取出并装在倾斜主轴上。
问题:这种机床的特点是什么？,答案:这种机床的结构提高了机床的可调性和可变性，能比较快地改装，以适应新品种加工的需要。但这类机床通用化程度低，结构比较复杂，造价偏高。
问题:如何推广使用组合机床？,答案:要研究适合中小批量生产的机床结构形式和多能的通用部件，使组合机床在中小批量生产中获得广泛地推广使用。
问题:什么是三停止，主轴定位和工件向工作进给？,答案:三停止指的是主轴停止、主轴定位和工件向工作进给。它们是组合机床中的重要操作步骤。
问题:如何选择机床配置型式和结构方案？,答案:选择机床配置型式和结构方案时，需要根据工件的结构特点、加工要求、生产率和工艺过程方案等进行考虑。在基本型式的基础上，可以有多种配置方案，这些方案对机床的结构复杂程度、通用化程度、结构工艺性能、重新调整的可能性以及经济效果等都有不同的影响。
问题:在选择机床配置型式和结构方案时应注意哪些？,答案:在选择机床配置型式和结构方案时，必须注意被加工零件的精度要求，并根据这种分析来选择机床配置型式。此外，加工精度对机床结构方案也有影响。
问题:图2-90所示的机床用于加工什么零件？,答案:图2-90所示的机床用于加工曲轴箱。
问题:如何在加工过程中确保精度和光洁度？,答案:为了稳定达到精度和光洁度，除了提高机床的原始精度、提高工件的定位基准精度和减少夹压变形等一般措施外，机床采取高速低进给速度的加工方法，使得切削力非常小，有利于保证加工精度。此外，还需要消除主轴振动影响并确保有稳定的较小的进给速度。
问题:这台机床的主运动是如何传动的，主轴设有卸载机构吗？,答案:这台机床的主运动采取了皮带传动，主轴设有卸载机构。
问题:进给系统采用了什么增稳系统？,答案:进给系统采用了如图2-92所示的增稳系统。
问题:为何要采用不同直径的油缸进行工作进给？,答案:因为液压进给系统对于一定直径的油缸，有一定的最小进给速度。如果机床需要的进给速度小于这个极限值，工作时进给不稳定，甚至严重爬行，会破坏加工光洁度。采用不同直径的油缸，可以在镜头快速前进时使用小直径油缸工作，在镜头转为工作进给开始切削时，则换为大直径油缸工作，从而可以获得稳定而又较小的进给速度。
问题:对于大直径又有较高精度要求的缸孔加工，应采用哪种结构的机床？,答案:对于大直径又有较高精度要求的缸孔加工，机床一般应采用立式刚性主轴结构的，而不是卧式加工，因为卧式加工不仅机床结构复杂、庞大，还常常因为孔距较近，安置方向有一定困难。
问题:什么是刚性主轴加工，其特点是什么？,答案:刚性主轴加工是指采用刚性主轴结构方案加工零件。这种加工方法可以提高加工精度，上下两孔平行度较好，但对加工孔对定位基准的精度不如采用滑套导向加工有利。
问题:刚性主轴加工时如何保证孔间距精度？,答案:为了保证孔间距精度，可以采用刚性主轴结构方案，并在加工上下孔时应用同一把刀具，或者将两把刀尽可能布置得靠近。
问题:刚性主轴加工的精度如何？,答案:刚性主轴加工的加工孔对定位基准的位置精度一般为±0.05~±0.1 毫米。
问题:当气缸体缸孔的孔间距离及平行度要求较高时，应该如何加工？,答案:当气缸体缸孔的孔间距离及平行度要求较高时，采用一般多轴刚性主轴箱加工就不易保证，此时可以采用滑套导向加工或其他特殊的加工方法。
问题:为什么在某些情况下需要采用由单个精镜头组成的多轴机床结构方案？,答案:为了达到最高平行度和孔距精度，并能单独调整各精镜头的位置。
问题:为了提高机床工作过程中的稳定性，镂头滑台采用什么类型的导轨？,答案:镂头滑台采用一个矩形和一个三角形相结合的导轨。
问题:为什么要把机床设计为倾斜式？,答案:为了保证镜头的重力压在导轨上，提高机床工作过程中的稳定性。
问题:目前一般采用哪些倾斜角度？,答案:目前一般采用10°和45°两种倾斜角度。
问题:采用精镂头组成的缸孔镂床有什么优点？,答案:采用精镂头组成的缸孔镂床提高了机床的可调性。
问题:机床要求的生产率对机床配置型式和结构方案有何影响？,答案:机床要求的生产率对机床配置型式和结构方案有很大影响，它是决定采用单工位机床、多工位机床或自动线，还是按中小批生产所需组合机床的特点进行设计的重要因素。
问题:为何有时从工件外形及轮廓尺寸来看可以采用单工位固定夹具的机床型式，但实际生产中却不得不采用多工位的方案？,答案:由于生产率要求很高，采用多工位的方案可以使装卸时间和机动时间相重合，提高生产效率。
问题:图2-96所示的加工拖拉机后轮总成的立式组合机床为什么选用双工位的机床型式？,答案:为了满足流水线要求的生产率，便于装卸，减轻工人劳动强度。
问题:对于一些需要多面同时加工的箱体零件，通常采用哪种类型的机床？,答案:卧式机床通常用于加工孔中心线与定位基准面平行的箱体零件。
问题:对于定位基面是水平的，需要加工垂直孔的工件，通常采用哪种类型的机床？,答案:立式机床通常用于加工定位基面是水平的，需要加工垂直孔的工件。
问题:对于大型箱体件，适合采用哪种类型的机床加工？,答案:对于大型箱体件，适合采用单工位机床进行加工。
问题:对于中小工件，适合采用哪种类型的机床加工？,答案:对于中小工件，适合采用多工位机床进行加工。
问题:对于需要加工垂直孔，但受到其他因素限制的工件，可以采用什么样的加工方案？,答案:对于需要加工垂直孔，但受到其他因素限制的工件，可以采用卧式加工方案。
问题:图2-97所示的铝质管板件需要加工数千个孔，如何避免切屑划伤管板表面？,答案:为了避免切屑划伤管板表面，可以在管板上盖一个孔径略大的保护板。
问题:卧式钻床在加工管板件时，主要由哪些部件组成？,答案:卧式钻床在加工管板件时，主要由44根轴的动力头、夹具、上下移动工作台及程序控制鼓等主要部件组成。
问题:卧式钻床的动力头主轴有什么特点？,答案:卧式钻床的动力头主轴能够自动伸缩。
问题:卧式钻床的工作台有多少个工位？,答案:卧式钻床的工作台由上工作台的10个工位和下工作台的9个工位组成，共90个工位。
问题:什么是管板立起来加工的好处？,答案:管板立起来加工的好处是便于排/骨。
问题:机床T.作顺序是什么？,答案:机床T.作顺序为：管板安装好后，水平和垂直移动滑台使管板处于加工第一组孔的位置，动力头按第一组孔的布置情况伸出相应的主轴，进行加工出第一组孔。动力头退回原位、程序鼓自动定位选择工作主轴，而上工作台垂直方向移动一定的距离，使第二组待加工的孔处于加工位置，而动力头则按第二组孔的布置情况，缩回不用的轴，并伸出相应的加工轴，进行第二组孔的加工。当完成垂直方向规定的加工次数后，下工作台在水平方向移动4个位置后，继续按上述方法进行其余各组孔的加工。机床的动作循环由90个工位的程序控制鼓自动控制。
问题:这台机床可以同时加工几块管板，顺序完成多少个直径为16.8毫米孔的加工？,答案:这台机床可以同时加工两块管板，顺序完成2745个直径为16.8毫米孔的加工。
问题:图2-99所示的铝质高压泵外体，当设计加工内环槽的机床时，由于孔径较小，内环槽宽度较大，且需同时加工几个环槽，切削负荷较重，采用了什么配置方案？,答案:图2-99所示的铝质高压泵外体，当设计加工内环槽的机床时，由于孔径较小，内环槽宽度较大，且需同时加工几个环槽，切削负荷较重，采用了行星铣的配置方案。
问题:机床用于粗、精铣12个阀孔内的直径为中34毫米及中24.7毫米两个同心环槽，光洁度V40。12个孔分别在几个工位上加工？,答案:机床用于粗、精铣12个阀孔内的直径为中34毫米及中24.7毫米两个同心环槽，光洁度V40。12个孔分别在两个工位上加工。
问题:机床由哪些主要部件组成？,答案:机床由六轴铣削动力头、夹具、移动工作台等主要部件组成。]
问题:什么是行星铣削，它在加工石墨块时起什么作用？,答案:行星铣削是一种加工方法，其中铣头上装有本身的高速自转外，还绕工件作圆周运动。借助这个组合运动，可以实现大端面和圆柱面的同时加工。在加工石墨块时，行星铣削可以完成大端面和圆柱面的加工，并保持尖棱尖角，不许有掉角现象。
问题:这台组合机床用于加工什么类型的工件？,答案:用千加工拖拉机轮骰。
问题:这台机床的主轴能实现什么类型进给？,答案:主轴能按工件的径向实现进给。
问题:这台机床采用什么方式进行孔加工？,答案:由一个五轴动力头分五次加工工件的25个孔。
问题:如何加工汽车左右转向节的内止口？,答案:采取了镂杆穿进一边导向后装刀的方法，并换装一次工件，用一个动力头完成相对方向止口的加工。
问题:卧式单面双工位回转工作台用于什么目的？,答案:为了能方便地装卸工件、安装刀具及刀杆，并提高机床的生产率。
问题:机床的工作顺序是什么？,答案:将两个工件装在夹具内，将刀杆穿进夹具的一个导向，装上扩孔钻后将刀杆继续插进前端导向。工作台回转180°，两根刀杆的端部一半牙嵌离合器对准主轴上的另一半牙嵌离合器。
问题:动力头前进时，什么会咬合开始对工件加工？,答案:牙嵌离合器。
问题:在工件加工的同时，可以在哪个工位进行装卸工件？,答案:在另一工位上。
问题:什么对机床结构方案的选择有重要的影响？,答案:组合机床的使用条件。
问题:工件输送滚道的高度如何影响机床的装料高度？,答案:工件输送滚道的高度直接影响机床的装料高度。
问题:当工件输送滚道穿过机床时，机床应设计为什么类型的？,答案:通过式。
问题:在哪些情况下，机床不能安置中间导向？,答案:当工件输送滚道穿过机床时，同时装卸工件只能推进拉出，机床通常不能安置中间导向。
问题:如果车间面积有限，什么可能会受到限制？,答案:机床的轮廓尺寸。
问题:对于安装在楼上的机床，什么要求会更严格？,答案:对机床单位面积的重量要求。
问题:什么因素也对机床配置方案有一定影响？,答案:生产线的流水方向和机床在车间的安装位置。
问题:在工件加工之前，工件需要达到什么要求？,答案:工件的毛坯或半成品必须达到一定的要求，以便在机床夹具上定位夹紧可靠。
问题:如果工件在组合机床加工之后还需在其他机床上加工，什么情况下需要考虑为下一道工序加工出工艺基面？,答案:如果工件预先没有加工出保证精度的有关工艺基面。
问题:何时可以增加机床工位？,答案:若工厂所处方位气候过于炎热，车间温度过高，使用液压传动机床工作性能不稳定时，可以增加机床工位。
问题:在什么情况下应选择多工位移动工作台式组合机床？,答案:当工位数不超过2~3个，生产率能够满足时，应选择多工位移动工作台式组合机床。
问题:何时应选择回转式多工位机床？,答案:只有工位在4个以上时，才应选择回转式多工位机床。
问题:多工位机床的最大工位数受到哪些因素的限制？,答案:多工位机床的最大工位数通常受到工序合理集中程度、机床部件制造复杂和困难的限制。
问题:在考虑采用多工位机床时，应注意哪些通用部件的工位数？,答案:在考虑采用多工位机床时，应注意现有通用部件的工位数，例如大型回转工作台的工位数有2、3、4、5、6、8、10、12等，回转鼓轮一般可采用3、5、6、8个工位数。
问题:还应注意哪些部件的外形尺寸？,答案:应注意回转工作台台面直径、回转鼓轮直径、主轴箱等一些大件的外形尺寸，以避免机床过于庞大，制造困难。
问题:现有通用的多工位回转工作台台面最大直径和主轴箱最大外形尺寸是多少？,答案:现有通用的多工位回转工作台台面最大直径为1400毫米，主轴箱最大外形尺寸为1200x800毫米（组合机床研究所的通用部件）。
问题:在什么情况下应优先考虑采用多工位配置型式机床？,答案:当一个零件可以用多工位回转式机床加工，也可以用自动线加工时，应优先考虑采用多工位配置型式机床。
问题:什么情况下应该采用自动线加工？,答案:对于一些工艺复杂、加工部位和工序数多的工件，当多工位机床不易满足加工要求时，应采用自动线加工。
问题:自动线上加工的工件轮廓尺寸、外形结构和重量大小是否有限制？,答案:自动线上加工的工件轮廓尺寸、外形结构和重量大小一般不受限制。
问题:在立式回转工作台机床和耿式单面鼓轮机床都可以加工工件的情况下，为什么通常优先选择回转鼓轮式机床？,答案:在立式回转工作台机床和耿式单面鼓轮机床都可以加工工件的情况下，通常优先选择回转鼓轮式机床，因为它结构较为简单，重量轻，造价也较低。
问题:组合机床上加工内螺纹的比例是多少？,答案:据统计，包括有攻丝工序的组合机床约占总数的 22%，全部为攻丝的组合机床占总数的 10%。
问题:攻丝动力头的工作原理是什么？,答案:攻丝动力头是利用丝杠实现进给，电机经过一系列齿轮带动螺母旋转而实现。攻丝时动力头以规定的每分钟进给量前进，为了获得要求的每分钟走刀量，可变换动力头内部的一对交换齿轮。主轴箱上各主轴的转向必须一致，共转速应保证螺距、丝杠的关系。进给运动关系是靠动力头每分钟进给量和主轴转速来保证的，主轴前部装有带弹簧的攻丝卡头，以补偿各主轴进给量之误差。]
问题:攻丝动力头的结构特点是什么？,答案:攻丝动力头的结构复杂，加工精度较低（不能高于3级精度）。
问题:攻丝动力头的使用情况如何？,答案:由于攻丝动力头的结构复杂和精度较低，未获得广泛使用，在多数情况下均由攻丝装置所代替。
问题:攻丝装置由哪些部分组成？,答案:攻丝装置由主轴箱和靠模接杆组成。
问题:攻丝装置的精度如何？,答案:利用攻丝装置进行攻丝可达到较高的精度（可达2级精度）。
问题:攻丝装置的安装方式有哪些？,答案:攻丝装置可以直接固定在床身上，也可以安装在移动滑台上。
问题:什么是攻丝电动机，它是如何工作的？,答案:攻丝电动机是用于攻丝的一种电动机。工作时，气缸将攻丝主轴箱下降到合适的位置，电动机旋转，借助靠模进行攻丝。
问题:攻丝主轴箱上升和停车时是如何控制的？,答案:攻丝主轴箱上升时，两侧的平衡重提供平衡，使其上升比较轻快。停车时，不会因自重下滑。
问题:在什么情况下会使用攻丝模板进行攻丝？,答案:当攻丝工序与其他钻孔工序需要在一个动力头上同时进行时，会使用攻丝模板进行攻丝。
问题:攻丝行程控制机构的作用是什么？,答案:攻丝行程控制机构用于控制攻丝的行程，确保攻丝工作在液压动力头开始快速退回之前已经结束。
问题:T系列机械动力头可以用于什么？,答案:T系列机械动力头也可以用于攻丝。
问题:在选择攻丝主轴尺寸及计算电动机功率时，需要注意什么？,答案:应当注意丝锥工作时钝化的影响。一般按计算功率的1.5~2.5倍选取。攻丝轴数少时（一根）取大值，轴数多时取小值。
问题:采用攻丝动力头攻丝时，螺纹孔精度可以达到什么等级？,答案:采用攻丝动力头攻丝时，螺纹孔精度可达到3级。
问题:用攻丝装置（靠模系统）攻丝时，螺纹孔精度可以达到什么等级？,答案:用攻丝装置（靠模系统）攻丝时，螺纹孔精度可达到2级。
问题:在组合机床上加工1级精度的螺纹孔时，需要注意什么？,答案:当需要在组合机床上加工1级精度的螺纹孔时，除提高丝锥的精度要求外，螺纹底孔应比标准规定取大一些，并增加扩扎工序。
问题:在设计攻丝机床时，为什么需要注意钻孔深度是否足够？,答案:设计攻丝机床时，要确保攻到要求的深度时丝锥前端不能碰孔底，以免造成丝锥折断。钻孔深度应按下述公式检查：t = 螺距。
问题:当采用立式机床攻制不通孔螺纹时，为什么需要注意攻丝前孔中切屑的排除？,答案:当采用立式机床攻制不通孔螺纹时，要注意攻丝前孔中切屑的排除，以避免切屑堆积导致丝锥损坏或加工不良。在多工位机床上或流水线、自动线上，可采用压缩空气吹屑，或者用翻转工件的方法来清除孔底积屑。
问题:攻丝机床为什么需要电动机正转进行攻丝，攻丝完成后为什么需要反转退出工件？,答案:攻丝机床都是借助电动机正转进行攻丝，加工完了电动机反转使丝锥退出工件。这是因为在攻丝过程中，丝锥需要跟随电动机的转动进行切削，而攻丝完成后，丝锥需要从工件中退出，此时反转可以方便地将丝锥退出。
问题:如何确保攻丝电动机的可靠反向和停止？,答案:为了确保攻丝电动机的可靠反向和停止，在电气控制系统设计中，除一般动作控制信号外，还必须增设互锁保险开关。同时，为确保丝锥退回原位电动机能及时停止，不因惯性转动造成丝锥超程，破坏攻丝机构的原位状态，在电动机停转时，一般应采用刹车机构以制动。
问题:在主轴箱上攻丝主轴数量少于多少时可以不用刹车机构？,答案:当一个主轴箱上攻丝主轴少于 8 根时可以不用刹车机构。对特大的攻丝主轴箱有时还应设置两个或更多的刹车机构，以保证可靠的制动。
问题:需要采用主轴定位的情况有哪些？,答案:在加工零件时，以下情况需要采用主轴定位：3. 当加工内孔直径稍大于外面孔时，为了自动送进刀具。4. 当需要加工的相邻孔很近，或者孔距箱体壁很近，采用转动导向有困难而必须用固定导向，刀具又需要通过导向时。
问题:如何实现主轴定位？,答案:目前组合机床上常用的主轴定位方法有电气定位、机械主轴定位器和液压定位。各种主轴定位机构的工作原理及具体结构在“组合机床主轴箱”一章中介绍。
问题:在采用主轴定位的方案时，应该注意什么？,答案:在确定采用主轴定位的方案时，需要选择合适的切削速度，并设计主轴箱，使各定位轴的转速最好相等或成整数倍。
问题:当现有机械的主轴定位机构用于K轴放不超过多少根，布置较为集中的情况下，能可靠地定位，达到要求的定位精度？,答案:现有机械的主轴定位机构用于K轴放不超过3~5根，布置较为集中的情况下，能可靠地定位，达到要求的定位精度。
问题:当主轴很多，且布置分散，互相距离很大时，会出现什么？,答案:当主轴很多，且布置分散，互相距离很大时，由于惯性关系及传动间隙的影响，定位精度不高，而且定位系统工作也很不可靠。
问题:在确定机床的配置型式和结构方案时，应如何解决工序集中程度的？,答案:在一个动力头上安装多轴，同时加工多孔来集中工序，是组合机床最基本的方法。但也不应当无限制地增加主轴数目，要考虑到动力头及变速箱的性能和尺寸，并保证调整和更换刀具的方便性。
问题:在单工位机床上一般最多安装多少个动力头？,答案:在单工位机床上一般最多安装3~4个动力头。
问题:对于需要加工与机床基本轴的位置成一定角度的孔的情况，可以采用什么方法？,答案:对于需要加工与机床基本轴的位置成一定角度的孔的情况，可以采用“随动头”来加工。“随动头”就是其本身只有由单独电机驱动的主轴旋转运动，它的进给运动是依靠机床上的动力头的进给运动通过一定的机构（通常是齿轮齿条）传动来实现的。
问题:什么因素会影响机床方案的选择？,答案:关于“随动头”的排除切屑和操作使用的方便性对机床方案也有影响。
问题:对于采用前后导向进行精加工的机床，较好的方案是什么？,答案:对于采用前后导向进行精加工的机床，较好的方案是采用立式加工。
问题:在多工位机床上应特别注意什么？,答案:在多工位机床上应特别注意前一道工序遗留在孔中的切屑对后一道工序的影响。
问题:在某些情况下，如何排除孔中积屑？,答案:在某些情况下，可将孔钻、扩得更深一些，以贮存切屑。
问题:选择多面机床时应注意什么？,答案:选择多面机床时，应慎重考虑操作的方便性，尤其是对千四面机床配置型式更需注意，不宜过多采用。
问题:设计鼓轮机床时，应考虑什么因素？,答案:设计鼓轮机床时，尤需考虑装料高度是否合适，一般不宜大于 1200~1300 毫米。
问题:选择机床配置型式时要考虑什么？,答案:选择机床配置型式时要考虑夹具结构的实现可能性和工作的可靠性。
问题:为什么立式机床的夹具设计比较困难？,答案:立式机床的夹具设计比较困难，因此这类机床常用瞅式加工方案。
问题:在决定加工一个工件的成套机床或流水线上各机床的型式时，应注意什么？,答案:在决定加工一个工件的成套机床或流水线上各机床的型式时，应使机床与夹具的形式尽量一致，尤其是粗精加工机床。这样不仅有利于保证加工精度，而且便于设计、制造和维修，也提高了机床之间的通用化程度。
问题:选择符合多快好省的机床方案时应注意什么？,答案:选择符合多快好省的机床方案时，应坚持土洋并举，反对贪大求全，正确处理先进性和可靠性的关系。
问题:通常可以按照哪些指标来比较不同的机床配置方案？,答案:通常可以按照机床生产率、加工精度和机床使用方便性和自动化程度等指标来比较不同的机床配置方案。
问题:什么是合适的机床负荷率？,答案:机床负荷率一般以在 70~90% 为好。各种方案虽然都能满足生产率的要求，但机床的负荷率是不同的，应当根据具体情况，采取负荷率适宜的机床方案。
问题:为什么切屑排除的方便性是选择机床方案的重要因素？,答案:切屑排除不便有时会影响机床加工精度及工作可靠性，因此选择方案时应给予足够重视。
问题:机床结构的复杂程度和通用化程度对机床有何影响？,答案:机床结构简单、通用化程度高，可以降低机床制造成本，提高机床工作可靠性。
问题:刀具的复杂程度、刃磨、调整和更换的方便性为何重要？,答案:刀具的复杂程度、刃磨、调整和更换的方便性对加工效率和加工质量有直接影响。
问题:机床的外形尺寸为何需要考虑？,答案:选择体积小、重量轻的机床方案可以节省空间，提高加工效率。
问题:在进行机床方案经济效果分析时需要考虑哪些方面？,答案:进行机床方案经济效果分析时需要考虑所需操作工人数、机床所需厂房面积、工艺设备总投资、单件工序成本以及采用组合机床后增加的投资的回收期等因素。
问题:在什么情况下即使经济效果不佳仍有必要采用组合机床？,答案:当需要解决关键工序稳定的加工精度时，即使工件产量不大、经济效果不佳，仍然有必要采用组合机床。
问题:我们学习组合机床工艺和结构方案的选择原则和注意事项的目的是什么？,答案:我们学习组合机床工艺和结构方案的选择原则和注意事项的目的是为了应用这些认识设计出我们需要的组合机床方案图纸，并依此开展组合机床的零部件设计，以便能制造出符合多快好省原则的组合机床来。
问题:什么是组合机床的总体设计，它需要哪些方案图纸？,答案:组合机床的总体设计是针对具体被加工零件，在选定的工艺和结构方案基础上进行方案图纸设计。这些图纸包括：被加工零件工序图、加工示意图、生产率计算卡片、机床联系尺寸图等。
