例子,故障现象,分析过程,,,,,,,
"例140.KND100T系统手轮无效的故障维修
","故障现象：某配套kND100T的数控车床，在机床开机后，发现手轮无效，但机床无任何报警号。
","分析及处理过程：经现场分析，发现机床在其他手动、自动、MDI方式下均能正常工作。因此，引起故障可能的原因如下：
€机床手轮不良，手轮信号无输入。
""系统参数被修改，导致手轮功能无效。
由于在KND100T中，手轮为选择功能，它决定于系统选择功能参数的设定，其选择参数为PRM001bit3＝“1”。经检查发现，该机床参数已经被修改；恢复该参数的设定后，手轮工作恢复正常。",,,,,,,
例141.回参考点出现超程报警的故障维修,"故障现象：某配套FANUC

0M的加工中心，在开机手动回参考点的过程中，出现超程报警。
",分析及处理过程：经了解，该机床为用户新添设备，操作人员未进行过系统的培训，在开机后，未将工作台移出参考点减速区域之外，即开始了回参考点动作，造成了机床的越位。在退出超程保护后，手动移动工作台，移出参考点减速区后，重新回参考点，机床恢复正常。,,,,,,,
例142.回参考点后机床无法继续操作的故障维修,"故障现象：某配套FANUC
0M的数控机床，在回参考点时发现：机床在参考点位置停止后，参考点指示灯不亮，机床无法进行下一步操作。机床关机后，又可手动操作，回参考点后上述现象又出现。
",分析及处理过程：根据以上现象判断，机床回参考点动作属于正常。考虑到机床已在参考点附近停止运动，因此，初步判断其原因可能是参考点定位精度未达到规定的要求所引起的。通过机床的诊断功能，在诊断页面下对系统的“位置跟随误差”（DGN800~802）进行了检查，发现机床的Y轴的跟踪误差超过了定位精度的允许范围。经调整伺服驱动器的“偏移”电位器，使“位置跟随误差”DGN808~802的值接近“0”后，机床恢复正常工作。,,,,,,,
"例143.参考点位置不稳定的故障维修
","故障现象：某配套FANUC0系统的数控机床，回参考点动作正常，但参考点位置随机性大，每次定位都有不同的值。
","分析及处理过程：由于机床回参考点动作正常，证明机床回参考点功能有效。进一步检查发现，参考点位置虽然每次都在变化，但却总是处在参考点减速挡块放开后的位置上。因此，可以初步判定故障的原因是由于脉冲编码器“零脉冲”不良或丝杠与电动机间的联接不良引起的故障。
为确认问题的原因，鉴于故障机床伺服系统为半闭环结构，维修时脱开了电动机与丝杆间的联轴器，并通过手动压参考点减速挡块，进行回参考点试验；多次试验发现，每次回参考点完成后，电动机总是停在某一固定的角度上。
以上证明，脉冲编码器“零脉冲”无故障，问题的原因应在电动机与丝杠的联接上。仔细检查发现，该故障是由于丝杆与联轴器间的弹性胀套配合间隙过大，产生联接松动；修整胀套，重新安装后机床恢复正常。",,,,,,,
"例144.参考点发生整螺距偏移的故障维修
","故障现象：某配套FANUC0M的数控铣床，在批量加工零件时，某一大加工的零件产生批量报废。
","分析及处理过程：经对工件进行测量，发现零件的全部尺寸相对位置都正确，但X

轴的全部坐标值都相差了整整10mm。分析原因，导致X轴尺寸整螺距偏移（该轴的螺距是10mm）的原因是由于参考点位置偏移引起的。
对于大部分系统，参考点一般设定于参考点减速挡铁放开后的第一个编程器的“零脉冲”上；若参考点减速挡块放开时刻，编码器恰巧在零脉冲附近，由于减速开关动作的随机性误差，可能使参考点位置发生1个整螺距的偏移。这一故障在使用小螺距滚珠丝杠的场合特别容易发生。
对于此类故障，只要重新调整参考点减速挡块位置，使得挡块放开点与“零脉冲”位置相差在半个螺距左右，机床即可恢复正常工作。本机床经以上处理后，故障排除，机床恢复正常，全部零件加工正确。",,,,,,,
"例145.参考点减速信号不良引起的故障维修
","故障现象：某配套FANUC11M的加工中心，在回参考点过程中，发生超程报警。
","分析及处理过程：经检查，发现该机床在“回参考点减速”挡块压上后，坐标轴无减速动作，由此判断故障原因应在减速信号上。通过系统的诊断显示，发现该信号的状态在“回参考点减速”挡块压上/松开后，均无变化。
对照原理图检查线路，最终确认该轴的“回参考点减速”开关由于切削液的侵入而损坏；更换开关后，机床恢复正常。",,,,,,,
"例146.伺服电动机重新安装后引起的回参考点故障维修
","故障现象：某配套SIEMENS802D的数控铣床，在用户首次开机时，在回参考点的过程中出现超程报警。
","分析及处理过程：经了解，该机床是在重新安装后的第一次开机，且在机床搬送过程中拆下了Z轴电动机，并对电动机进行了重新安装。
分析原因，判断机床在搬送过程中，由于Z轴（主轴箱）位置产生了移动，使得电动机与丝杆间的相对联接位置发生了变化，导致参考点偏离了原来的位置，引起了Z轴超程报警。在退出超程保护后，经重新调整参考点偏置值，机床恢复正常。",,,,,,,
"例147.减速挡块固定不良引起回参考点超程的故障维修
","故障现象：某配套SIEMENS810M的加工中心，在回参考点的过程中，发生超程报
警。
","分析及处理过程：经检查，发现该机床的回参考点减速挡块放开位置，处在机床行
程极限开关之后，与系统回参考点设置要求不符。机床参考点减速挡块尚未脱开，超程保护信号己经发出，导致了机床超程报警。
进一步检查发现，该挡块未可靠固定于卡轨内，在开关与挡块长期接触后，位置产生了移动，导致了超程报警。重新固定挡块后，机床恢复正常。",,,,,,,
"例148.偶然因素引起参考点发生整螺距偏移的故障维修
","故障现象：某配套SIEMENS802D的数控铣床，在停机后重新起动机床，发现零件Y
方向的定位位置产生了整螺距偏移。
","分析及处理过程：原因分析同上例，初步判断其原因是由于参考点位置偏移引起的。但检查参考点减速挡块，发现安装位置正确、固定可靠。重新回参考点多次，Y方向的定位位置都正确，故其故障原因与参考点减速挡块的安装无关。
经认真检查，发现该轴行程开关上有较多的铁屑，由此判断参考点减速挡块的误动作是由于偶然性铁屑干涉所引起的。维修时在参考点减速开关上增加了防护后，机床恢复正常工作，并从此再无此现象出现。",,,,,,,
"例149.回参考点不到位的故障维修
","故障现象：某配套SIEMENS810M的数控机床，在回参考点时发现。机床在参考点位置停止后，“未到位”灯不熄灭，机床无法进行下一步操作；机床关机后，又可手动操作，回参考点后上述现象又出现。
","分析及处理过程：分析过程同上例。通过机床的诊断功能［DIAGNOS］，在轴诊断
［SERVICEAXIS］页面下对系统各坐标轴的“位置跟随误差”进行了检查，发现机床Z轴的跟踪误差超过了定位精度的允许范围。由于SIEMENS810系统可以进行自动漂移补偿，其操作方法如下：
1）按系统软功能键［DIAGNOS］，并进行系统软功能键扩展。
2）按系统软功能键［NC–MD］。
3）按系统软功能键［XIS–MD］。
4）调整光标，定位于参数NC–MD2722。
5）接操作面板上的程序编辑“修改”键，系统对Z轴进行自动漂移补偿。经自动漂移补偿，使“位置跟随误差”的值接近“0”后，机床恢复正常工作。例150.不能回参考点的故障维修
",故障现象：某配套SIEMENS802S的数控铣床，发生X轴手动回不到参考点故障。,"分析及处理过程：802S属于步进电动机驱动，无位置测量反馈元器件。其回参考点
方式与一般的闭环系统不同，采用的是接近开关回参考点方式。
SIEMENS802S有两种型式，即：€使用减速信号、参考点检测信号的双开关方式；""仅使用参考点检测信号的单开关方式。由于第二种型式只能设置一种回参考点的速度，参考点定位精度与接近开关的检测精度、回参考点速度的设置有关，因此在数控机床上通常很少使用。
在这两种型式中，又有如图4–14所示的两种参考点信号的检测方式，其中方式一

（图4–14a）为以接近开关上升沿作为参考点位置的回参考点方式；方式二（图4–14b）为以接近开关上升沿、下降沿的中点作为参考点位置的回参考点方式。这两种方式的选择可以通过机床参数MD–34200进行设定，MD–34200＝2为方式一；MD–34200＝4为方式二。

图4–14SIEMENS802S回参考点方式
该机床选择的是使用减速信号、回参考点双开关方式；设定MD–34200＝4，其回参考点的动作与普通的机床有所区别。其动作过程如下：
1）坐标轴以“寻找减速开关”的速度V（c参数MD–34020设定），向固定方向运动。
2）压上减速开关后，以“参考点减速”速度Vm（参数MD–34040设定）反向运动，寻找“参考点检测信号”的上升沿与下降沿的“中点”位置。
3）“中点”到达后，减至“参考点定位速度”V（p参数MD–34070设定），继续运动。
4）到达机床参数设定的参考点偏移位置（参数MD–34080、MD34090设定）后，回参考点结束（参见图4–15）。

图4–15802S回参考点动作图
经检查发现，该机床的“参考点减速”动作正常，因此可以判定故障原因在参考点检测开关上。进一步检查发现，该机床X轴参考点检测开关发讯挡块与接近开关间的距离较大，在回参考点过程中，接近开关始终无信号输出。重新调整发讯挡块后故障消失，机床恢复正常。
维修体会与维修要点：
手动回参考点操作是建立机床坐标系的前提，绝大部分数控机床开机后的第一动作一般都是手动回参考点操作。虽然在不同的数控系统中，回参考点的方法有所不同，

但在绝大部分系统中，回参考点的动作过程如下（参见图4–16）：1）在手动方式（JOG）下，选择“回参考点”操作方式。
2）按对应轴的方向键。
3）坐标轴以机床参数设定的“回参考点快速”速度，向参考点移动。
4）当“参考点减速”挡块压上后，参考点减速信号（*DEC）生效，电动机减速至机床参数设定的“参考点搜索速度”。
5）越过参考点减速挡块后，*DES信号恢复，坐标轴继续以搜索速度运动。
6）在参考点减速挡块放开后，位置检测装置的第一个“零脉冲”到达后即开始计数，当到达机床参数设置的“参考点偏移量”后，坐标轴停止运动，回参考点运动结束。
由上述动作可见，影响回参考点动作的主要因素有：
1）数控系统的操作方式，它必须选择回参考点（Ref）方式。
2）“参考点减速”信号必须按要求输入。
3）位置检测装置“零脉冲”必须正确。
4）数控系统的参数设置必须正确。
在以上因素中，维修时常见的故障是减速挡铁位置调整不当和减速信号的故障，其次是位置检测元器件的“零脉冲”干扰、检测元器件的故障，以及机床参数的设定错误。有关位置检测装置“零脉冲”的故障的维修，以及机床参数引起的回参考点故障的维修，见本节后述。

图4–16回参考点动作示意图
在常用数控系统中，与回参考点有关的信号及其地址见表4–5。

注：在SIEMENS系统中，同型号的系统，由于系统软件版本的不同，地址号可能会有所区别。

4.6.2“零脉冲”不良故障维修5例",,,,,
"例151.FANUC6M回参考点时发生ALM091报警的维修
",故障现象：某配套FANUC6M的卧式加工中心，在回参考点时发生ALM091报警。,"分析及处理过程：FANUC6M发生“ALM091”的含义是“脉冲编码器同步出错”，在
FANUC6M中可能的原因有以下两个方面：
1）编码器“零脉冲”不良。
2）回参考点时位置跟随误差值小于128?m。
维修时对回参考点的跟随误差（诊断参数DGN800）进行了检查，检查发现此值为
200?m左右，达到了规定的值。进一步检查该机床的位置环增益为16.67S–1回参考点速度设置为200mm/min，属于正常范围，因此初步排除了参数设定的原因。可能的原因是脉冲编码器“零脉冲”不良。
经测量，在电动机侧，编码器电源（+5V电压）只有+4.5V左右，但伺服单元上的+5V电压正确。因此，可能的原因是线路压降过大而导致的编码器电压过低。进一步检查发现，编码器连接电缆的+5V电源线中只有一根可靠连接，其余3根虚焊脱落；经重新连接后，机床恢复正常。",,,,,,,
"例152.更换编码器后出现参考点位置不稳定的故障维修
","故障现象：某配套FANUC6M的立式加工中心，在更换编码器后，回参考点时出现

参考点位置不稳定，定位精度差的故障。
","分析及处理过程：原因分析过程同上例。经检查发现该机床有关参数设置均正确无误，编码器+5V电压正常，编码器全部线路焊接可靠，机床手轮及增量进给值均正确无误，故排除了参数设置与连接问题。
考虑到该编码器已进行更换，维修时，利用示波器对该编码器的零位脉冲进行了测量，最后检查出原因是：编码器的“零脉冲”Z和Z的输出端引脚与原编码器的插脚正巧相反，使得编码器的“零脉冲”Z信号总是为“1”（只有在“零位”的瞬间为“0”）。因此，机床只要减速挡块放开，“零脉冲”就已经存在，参考点的定位精度完全决定于减速挡块的精度；从而导致了参考点位置不稳定，定位精度差的故障。经更换Z和Z信号后，机床随即恢复了正常。",,,,,,,
例153.,"故障现象：某配套FANUC11M系统的卧式加工中心，在X轴回参考点时，
CNC显示PS200报警。
","分析及处理过程：检查该机床回参考点减速动作正确，系统与回参考点有关的全部参数设定无误，因此，初步判定故障是由于“零脉冲”不良引起的。
分析实际机床，该机床采用的是全闭环结构，测量系统使用的是Heidenhain公司生产的光栅尺。为了尽快确定故障部位，维修时将X、Y的光栅尺前置放大器（EXE601）进行了互换。开机试验，X轴回参考点正常，由此确认故障是由于光栅尺前置放大器EXE601不良引起的；拆下EXE601进行修复后，机床恢复正常工作（有关Heidenhain光栅尺的原理与维修，可以参见本书第6章第6.4.5节的有关内容）。",,,,,,,
例154.,"故障现象：某配套FANUC11M系统的卧式加工中心，在X轴回参考点时，
CNC显示PS200报警。
","分析及处理过程：机床同前，检查该机床回参考点减速动作正确，系统与回参考点有关的全部参数设定无误，初步判定故障是由于“零脉冲”不良引起的。
由于机床使用了Heidenhain光栅，通过更换EXE601前置放大器，故障仍然不变，由此确认故障是由于光栅尺不良引起的。
拆下光栅尺检查，发现该光栅尺由于使用时间较长，内部光栅尺己被污染，重新清洗处理，经测试确认光栅输出信号恢复后，重新安装光栅尺，故障排除，机床恢复正常。",,,,,,,
"例155.屏蔽线不良引起参考点不稳定的故障维修
","故障现象：某配套FAGOR8030的立式加工中心，在回参考点时出现参考点位置不稳定，参考点定位精度差的故障。
","分析及处理过程：经检查该机床在手动方式下工作正常，参考点减速速度、位置环

增益设置正确，测量编码器+5V电压正常，回参考点的动作过程正确。因此，可以初步判定故障是由于编码器零位脉冲受到干扰而引起的。
进一步检查发现，该轴编码器连接电缆的屏蔽线脱落，重新连接后，参考点定位恢复稳定，定位精度达到原机床要求。",,,,,,,
"例156.位置环增益设定不当引起的故障维修
",故障现象：某配套FANUC6M的卧式加工中心。在回参考点时发生ALM091报警。,"分析及处理过程：原因分析过程同前述。维修时对口参考点的跟随误差（诊断参数
DGN800）进行了检查，检查发现此值回参考点时为83?m左右，小于规定的128?m值。进一步检查机床参数的设定，发现该轴位置环增益（PRM090）设置为（305S–1），回参
考点减速速度为150mm/min。根据机床的实际情况，该机床属于大型机床，工作台负载重，其快进速度、加速度等设定都较低。因此引起故障的原因可能是位置环增益设置过大。根据德国机床生产厂家的推荐，参照同类机床的数据比较，并经计算校验后得出：对于该机床，位置环增益K应在16.67S–1左右。
维修时将位置环增益（PKM090）设置为16.67S–1’后，机床恢复正常；测试3轴的动态特性，也满足机床动特性的要求。",,,,,,,
"例157.回参考点速度设定不当引起的故障维修
",故障现象：某配套FANUC11M的卧式加工中心，在回参考点时发生PS200报警。,"分析及处理过程：FANUC11M的PS200报警的含义与FANUC6M的ALM091报警相
似，因此分析过程同前述。检查诊断参数（DGN3000），发现回参考点时，位置偏差其值为
20?m左右，系统的KV设置为16.67S–1，属于正常范围。
但进一步检查发现，参数F（LPRM1425）的设定为20mm/min，此值显然太小。对照其
余轴，该参数为200，查明故障原因是操作者在恢复参数时输入错误而引起的，更改为
200后，机床恢复正常。",,,,,,,
"例158.软件限位设定不当引起的故障维修
","故障现象：某配套FANUC0MD系统的立式加工中心，回参考点过程中出现ALM520
和Y轴过行程报警。
","分析及处理过程：经检查，机床“回参考点减速”开关以及CNC的信号输入均正常，因此初步分析原因是由于参数设定不当引起的故障。
仔细观察Y轴回参考点动作过程，发现“回参考点减速”开关未压到，CNC就出现了ALM520报警，ALM520报警的意义是：机床到达“软件限位”位置，即机床移动距离值超过了系统参数设定的软件行程极限值。此类故障可以通过重新设定参数进行解决，处理方法如下：
1）将机床运动到正常位置，进行手动回参考点，并利用手动方式压上“回参考点减速”开关，进行回参考点，验证回参考点动作的正确性。
2）在回参考点动作确认正确后，通过MDI/CRT面板，修改软件限位参数（为了方便

可以直接将其改为最大值±99999999）。
3）再次执行正常的手动回参考点操作，机床到达参考点定位停止。
4）恢复软件限位参数（由±99999999改回原参数值）。
5）再次执行正常的手动回参考点操作，机床动作正常，报警消除。例159.参数设定不当引起的故障维修
","故障现象：某配套FANUC0TD系统的数控车床，在执行回参考点动作时，出现位置不准的故障。
","分析及处理过程：由于机床回参考点动作过程正常，但实际参考点位置每次都不同，出现此类故障，通常与系统的参数设定、编码器以及编码器与丝杠间的联接等方面原因有关。
在本机床上，经互换伺服电动机确认编码器以及编码器与丝杠间的联接可靠。
检查系统的参数设定，在伺服参数页面下检查参考计数器容量（Refcounter），发现其值设置与实际机床不符，导致参考点位置的不正确。设定正确的参数后，机床恢复正常。",,,,,
"例160.YASKA＝J50M系统出现ALM231、232、233报警的维修
","故障现象：某配套YSKA＝J50M系统的加工中心，在机床重新调整后，执行回参考点动作时，系统出现ALM231、232、233报警。
","分析及处理过程：YASKA＝J50M系统出现ALM231、232、233报警的含义是参考点返回区域错误，此报警一般与系统的参数设定有关。
在现场了解机床的调整情况后，得知机床调整时为了改变参考点位置，对系统参数#6304~#6307、#6480~#6483进行了调整。检查以上参数实际设定，发现#6304~#6307被设定为“0”，引起了以上故障。
重新设定系统参数#6304~#6307为1000后，通过改变其他参数调整机床参考点，机床报警消失，恢复正常工作。",,,,,,,
"例161“.循环起动”灯不灭的故障维修
","故障现象：某配套FANUC6M的立式加工中心，在执行程序时出现仅执行程序中的

第一段移动指令，此后“循环起动”灯一直亮，但不执行下一段。
","分析及处理过程：由于机床能执行程序，证明机床的控制信号、检测信号状态均正常，机床故障的原因是定位无法完成所造成的。
检查系统诊断参数发现，该机床停止时的位置跟随误差（DGN800~803）中的X轴值较大，使机床无法到达规定的定位范围内，重新调整伺服驱动的漂移电位器，使X停止时位置跟随误差值回到“0”左右，机床即可正常工作。",,,,,,,
"例162.工作方式未选定引起的故障维修
","故障现象：某配套FANUC11M系统的卧式加工中心，机床手动、回参考点动作均正确，在MDI方式下执行程序正确，但在自动（MEM）方式下却无法执行自动加工。
","分析及处理过程：由于机床手动、回参考点、MDI运行均正常，可以确认系统、驱动器工作正常，CNC参数设定应无问题。机床在MDI方式下运行正常，但MEM方式不运行，其故障原因一般与系统的操作方式选择有关。
通过CNC状态诊断确认，故障原因是MEM作方式未选定；检查机床操作面板上的操作方式选择开关，发现该开关连线脱落；重新连接后，机床恢复正常工作。",,,,,,,
"例163“.循环起动”信号不良引起的故障维修
","故障现象：某配套FANUC11M系统的卧式加工中心，机床手动、回参考点动作均正确，但MDI、MEM方式下，程序不能正常运行。
","分析及处理过程：由于机床手动、回参考点动作正常，故可以确认系统、驱动器工作正常；由于机床在MDI、MEM方式下均不能自动运行程序，因此故障原因应与系统的方式选择、循环起动信号有关。
利用系统的诊断功能，逐一检查以上信号的状态，发现方式选择开关正确，但按下“循环起动”按钮后，系统无输入信号，由此确认，故障是由于系统的“循环起动”信号不良引起的。
进一步检查发现，该按钮损坏；更换按钮后，机床恢复正常。例164.G01/G02/G03指令无法执行的故障维修
","故障现象：某配套FANUCPM0的数控磨床，在使用中发现当执行G01/G02/G03指令时，机床不运动，但执行G00及手动时，机床一切正常。
","分析及处理过程：由于该机床在手动及执行G00时动作正常，而GO1、G02、G03执行的是编程的F值（送给速度），因此可能的原因是F为零或进给倍率为0%；经检查发现F值与进给倍率均正确。再进一步分析，由于PM0为车床用的CNC，在车床上开机默认
代码一般选择G9（9主轴每转进给），由于在磨床上无主轴编码器，因此不可能执行主轴
每转进给：更改程序后机床即恢复正常。",,,,,
"例165.主轴定位后自动无法进行的故障维修
","故障现象：某配套FANUC0M的立式加工中心，在执行自动换刀指令时，主轴完成定位（M19）后，程序不再执行。
","分析及处理过程：该机床出现故障后再关机即可恢复正常，执行不含M19指令的程序段，机床即正常运行。因此可以判断，故障是由M19主轴定向准停引起的，即M19指令无执行完回答（FIN）信号。
检查M19状态时，发现定位位置正确，而且主轴亦有相应的保持力矩，因此可以排除主轴定位本身的动作不正常。
对照机床电气原理图检查，该机床为了提高换刀可靠性，设置了主轴定位到位无触点开关，故障原因是该开关损坏，引起了M19回答（FIN）信号不能产生而造成的，更换开关后机床恢复正常。",,,,,,,
"例166.进给速度与编程值不符的故障维修
","故障现象：某配套FANUC0T系统的数控车床，在自动运行过程中，发现机床进给与编程值不符，且调节进给倍率开关无法改变进给速度。
","分析及处理过程：由于机床在手动方式、回参考点方式下工作正常，故可以基本排除系统与驱动系统的故障。引起进给与编程值不符，且调节进给倍率开关无法改变的原因有以下几种：
€机床参数设定错误。
""进给倍率开关连接不良。
€机床“程序控制”方式选择不当。
检查系统与进给速度有关的参数设定正确；利用诊断页面检查进给倍率开关信号正确。因此故障原因应与机床“程序控制”方式选择不当有关。
进一步利用诊断页面，检查机床的程序控制信号，发现CRT上的“DRY”显示始终存在，系统的“试运行”输入信号始终为“1”，导致了系统将程序指令中的F代码忽略，机床始终以“试运行”速度运行。取消“试运行”信号后，机床恢复正常。
注意：在正常情况下，“试运行”一般都设置有指示灯，CRT亦显示“DRY”状态，以提示操作者注意。但在本机床上由于指示灯损坏，操作者未注意CRT上的“DRY”显示，造成了简单的故障不能得到及时解决。",,,,,,,
"例167.定位不稳定的故障维修
","故障现象：某配套FANUC0TD系统的数控镗床，在加工过程中，发现Y轴尺寸每次都向下增加，导致工件的报废，但NC及伺服系统无报警。
","分析及处理过程：为了分析故障原因，在手动增量进给方式下移动机床，利用百分

表测量实际运动距离。经检查发现，当机床向下运动时，实际运动距离与正常指令值完全一致；但Y轴向上运动时，实际运动距离与正常指令值不符，且移动值总是小于指令值。
为了区分故障部位，维修时对机床做了如下试验：
€在Y轴伺服电动机输出轴端利用记号笔作上位置标记。
""在手动增量进给方式下，向下移动机床Y轴一个螺距。
€在手动增量进给方式下，向上移动机床Y轴一个螺距。
经以上试验发现，Y轴伺服电动机输出轴在向上或向下运动的过程中均回到标记位置，但实际工作台上的百分表却反映出向上时运动不到一个螺距。
根据以上试验，可以确认故障是由于机械传动系统的连接不良引起的。进一步检查发现该Y轴的联轴器松动，但在Y轴向下时，由于自重，需要的运动转矩小，因此实际位置尺寸可以基本正确；而向上运动时，需要的运动转矩大，引起了联轴器打滑，以至于实际位置尺寸小于指令值。在自动加工时由于Y轴的不断上下，误差不断积累，导致在加工过程中，发现Y轴尺寸每次都向下增加。重新固定联轴器后，机床恢复正常。",,,,,,,
"例168.刀补值无法输入的故障维修
","故障现象：某配套FANUC0T-MATE的数控机床，在程序编辑、数据输入的过程中，发现刀补值无法输入系统。
","分析及处理过程：虽然刀具补偿是数控系统的选择功能，但通常情况下，此功能在几乎全部机床上都应具备。在选择功能具备的情况下，刀补值无法输入与参数PRM729有关；该参数是机床所使用的刀具补偿值范围，为了充分发挥系统功能，通常应设定为最大值。如此值设定为“0”，则认为系统不使用刀补功能。
在本机床上，经检查，发现参数PRM729被设定为“0”，使刀补值无法输入。更改参数后，刀补值可以正常输入。",,,,,,,
"例169.运动指令不能执行的故障维修
","故障现象：某配套FANUC0T系统的数控车床，在自动加工时，按下“循环起动”键，程序中的M、S、T指令正常执行，但运动指令不执行。
","分析及处理过程：分析故障原因。由于程序中的M、S、T指令正常执行，机床手动、回参考点工作正常，证明系统、”驱动器工作均正常。引起运动指令不执行的原因一般有以下几种：
€系统的“进给保持”信号生效。""轴的“进给倍率”为零。
€坐标轴的“互锁”信号生效。

经检查，本机床的“进给保持”信号、“进给倍率”均正确，因此产生问题的原因与坐标轴的“互锁”信号有关。通过诊断功能，检查系统坐标轴的“互锁”信号，发现此信号为“0”。
进一步检查机床的PLC程序设计，发现引起坐标轴“互锁”的原因是刀架不到位；重新调整刀架位置后，机床恢复正常。",,,,,,,
"例170.外国时加工表面粗糙的故障维修
","故障现象：某配套FANUC0–TD系统的数控车床，车削外圆时加工表面粗糙，机床进给运动存在爬行现象。
","分析及处理过程：引起数控机床进给爬行的原因很多，机械传动系统的安装、调整不良，导轨润滑不良，系统、驱动器的参数设定不当都可能引起进给爬行。
检查本机床的机械传动系统，导轨润滑系统，以及数控系统、驱动器的参数设定均正确，手动转动X、Z轴的丝杠，转动轻松，可以排除机械部分的故障原因。而且机床在手动任意速度运动坐标轴时，进给平稳、无爬行，因此亦可以排除数控系统、驱动器参数设定不当的故障原因。
根据以上判断，可以确认故障仅存在于机床的自动运行中，分析自动与手动运动的区别，两者只是进给速度的指令方式有所不同，因此可以基本确定故障与机床的送给速度指令方式有关。
进一步检查CNC设定，发现该机床默认的是主轴每转送给方式，程序中亦采用G99
（每转进给）编程。在这种进给方式下，进给速度与主轴的位置检测系统有关，当主轴位置检测输入信号不良时，容易引起进给运动的爬行。
为了验证，将程序中的进给方式改变为每分进给指令（G98），经试验发现进给爬行现象消失，加工零件合格。由此确认故障是由于主轴编码器不良引起的；更换编码器后，机床恢复正常工作。
2.SIEMENS系统故障维修18例",,,,,,,
"例171.自动运行不到位的故障维修
","故障现象：某配套SIEMENS810M的数控机床，在自动时发现机床“未到位”灯不熄灭，机床无法进行下一步操作。
","分析及处理过程：通过机床的诊断功能［DIAGNOS］，在轴诊断［SERVICEAXIS］页面下对系统各坐标轴的“位置跟随误差”进行了检查，发现机床Z轴的跟踪误差超过了定位；精度的允许范围。
经自动漂移补偿，使“位置跟随误差”的值接近“O”后，机床恢复正常工作。例172.810M固定循环返回平面不正确的故障维修

","故障现象：某配套SIEMENS810M的立式加工中心，自动运行L81、L84等固定循环指令时，发现Z轴的返回平面不能通过参数R10定义，每次执行时只能返回到参考平面R2。
","分析及处理过程：由于机床其他动作全部正常，因此可以确认故障是由于系统软件选择不当引起的。
在SIEMENS810M中，固定循环具有UMS02与UMS03两种基本的循环格式，当选择了UMS02格式时，只有L82、L83、L85等少数固定循环可以返回到R10平面，其余大部分固定循环只能返回到R2平面。这两种格式的选择通过机床设定参数SD5000bit0进行选择，当SD5000bit0＝0时，选择的是UMS02格式；当SD5000bit0＝1时，选择的是UMS03格式。在本机床上，通过设定SD5000bit0＝1即可以使全部固定循环均返回到R10参数指定的位置。",,,,,
"例173.810M攻螺纹时Z轴位置出错的故障维修
","故障现象：某配套SIEMENS810M的立式加工中心，自动运行L84固定循环指令时，发现Z轴到达R3指定的位置后，Z轴不停止进给，继续往下运动。
","分析及处理过程：由于机床其他动作全部正常，因此可以确认故障是由于系统软件选择不当引起的。
在SIEMENS810M中，攻螺纹循环具有刚性攻螺纹与柔性攻螺纹两种基本的格式，当选择了刚性攻螺纹格式时，Z轴与主轴实现同步进给，因此只有在主轴停止后，Z轴才停止进给。这种情况下，循环指令中的R3只是指定了主轴开始停止正转的位置，由于主轴制动需要一定的时间，因此造成了Z轴到达R3位置后，继续往下进给的现象。
解决此问题的方法是改变攻螺纹循环的基本格式，它可以通过修改机床参数MD5013bit0进行，当设定MD5013bit0＝1后即可以选择柔性攻螺纹格式，使Z轴进给在R3指定的位置停止进给。",,,,,,,
"例174.刀库互锁M03不能执行的故障维修
","故障现象：某配套SIEMENS810M的立式加工中心，在自动运行如下指令时：
T**M06；S**M03；G00Z–100；
有时出现主轴不转，而Z轴向下运动的情况。
","分析及处理过程：本机床采用的是无机械手换刀方式，换刀动作通过气动控制刀库的前后、上下实现的。由于故障偶然出现，分析故障原因，它应与机床的换刀与主轴间的互锁有关。

仔细检查机床的PLC程序设计，发现该机床的换刀动作与主轴间存在互锁，即：只有当刀库在后位时，主轴才能旋转：一旦刀库离开后位，主轴必须立即停止。
现场观察刀库的动作过程，发现该刀库运动存在明显的冲击，在刀库到达后位时。存在振动现象。通过系统诊断功能，可以明显发现刀库的“后位”信号有多次通断的情况。而程序中的“换刀完成”信号（M06执行完成）为刀库的“后位到达”信号，因此，当刀库后退时在第一次发出到位信号后，系统就认为换刀已经完成，并开始执行S**M03指令。但M03执行过程中（或执行完成后），由于振动，刀库后位信号再次消失，引起了主轴的互锁，从而出现了主轴停止转动而Z轴继续向下的现象。
解决问题的方法是通过调节气动回路，使得刀库振动消除，并适当减少无触点开关的检测距离，避免出现后位信号的多次通断现象。在以上调节不能解决时，可以通过增加PLC程序中的延时或加工程序中的延时解决。",,,,,,,
"例175.刀库互锁Z轴位置出错的故障维修
","故障现象：某配套SIEMENS810M的立式加工中心，在自动运行如下指令时：
T**M06：G00Z–100：
有时出现Z轴向下不到位现象，而且误差不定。
","分析及处理过程：机床同上，现场试验当单段执行程序或程序中取消换刀指令后，Z轴定位正确。分析故障原因与上例相似，它与机床的换刀动作和Z轴间的互锁有关。
现场观察刀库的动作过程，同样发现该机床刀库运动存在明显的冲击，在刀库到达后位时，存在振动现象，引起了Z轴的互锁，从而出现了Z轴不到位的现象。
解决问题的方法与上例相同，可以通过增加PLC程序中的延时或加工程序中的延时解决。",,,,,,,
