问题,答案
问题:系统I/O接口故障的定义是什么？,答案:系统I/O接口故障是指系统在与外部设备进行数据传输时，出现系统报警或数据不能进行正常传输的故障。
问题:除了系统I/O接口故障外，实际机床维修过程中还有哪些其他故障？,答案:实际机床维修过程中还有其他多种故障，如驱动系统故障、主轴系统故障、数控系统本身故障、操作错误、参数设定错误、编程错误等等。
问题:在显示器上显示的故障报警号和报警内容对故障诊断有什么帮助？,答案:在显示器上显示的故障报警号和报警内容可以为故障诊断提供较明确的提示，帮助区分不同故障并采取相应的解决方法。
问题:在维修数控机床时，应首先进行哪些常规检查与测试？,答案:系统常规检查，包括外观检查与电源电压的确认。
问题:系统常规检查包括哪两个方面？,答案:外观检查与电源电压的确认。
问题:外观检查包括检查哪些单元的元器件外观？,答案:MDI / CRT单元、机床操作面板等单元。
问题:控制单元、伺服驱动器、电源单元、I / O单元、PLC、电动机及编码器等单元的元器件应检查什么？,答案:不良元器件、破损、污染等。
问题: 在安装检查过程中，应检查哪些单元是否安装牢固？,答案:答案1: 在安装检查过程中，应检查控制单元、伺服驱动器、电源单元、I/O单元、PLC等单元是否安装牢固。
问题: 在安装检查过程中，应检查哪些操作元器件是否安装牢固？,答案:答案2: 在安装检查过程中，应检查面板上、机床上的操作元器件是否安装牢固。
问题: 在连接检查过程中，应检查哪些电源连接是否正确？,答案:答案3: 在连接检查过程中，应检查系统、驱动的电源连接是否正确。
问题: 在连接检查过程中，应检查哪些单元的接地线连接是否正确？,答案:答案4: 在连接检查过程中，应检查CNC、SV驱动器、PLC、I/O单元的接地线连接是否正确。
问题: 在连接检查过程中，如何正确检查信号电缆？,答案:答案5: 在连接检查过程中，应检查信号电缆是否已经可靠、合理接地，如果电缆线已经更换，则应检查更换的电缆线是否符合系统要求，屏蔽层是否已经可靠连接等。
问题:系统交流主回路与控制回路的电压有哪些要求？,答案:系统交流主回路与控制回路的电压要求如下：
问题:FANUC 系统各单元规定的交流输入电压有哪些要求？,答案:FANUC 系统各单元规定的交流输入电压要求如下：
问题:使用 FANUC 标准电源变压器时，可以使用的输入电压范围是多少？,答案:可以使用的输入电压范围为：AC200V、220V、230V、240V、380V、415V、440V、450V、480V、550V误差不超过 + 10%， – 15%。
问题:对于采用开关稳压电源的部分系统，DC24V 输入电压的要求是什么？,答案:在这种前提下，对 DC24V 输入的要求为：电压值：24  1 ± 15% V；并经过符合要求的滤波处理。
问题:系统电源模块的输出电压必须满足什么要求？,答案:系统电源模块的输出电压，主要是指供给系统内部各单元使用的各类电压，电压值必须保证正确。
问题:当故障发生在系统外部时，可能是什么原因引起的？,答案:故障可能是由 PLC 程序逻辑条件不满足或是机床侧的元器件故障引起的。
问题:在某些情况下，机床为什么可能会暂时无动作？,答案:机床可能因为系统处在等待外部信号输入的状态，而暂时无动作。
问题:在维修时，应如何熟练掌握系统的自诊断技术？,答案:在维修时，应随时检查系统、PLC、机床的接口信号状态与系统的内部工作状态，以便判断故障原因。
问题:系统状态的检查包括哪些方面？,答案:系统状态的检查包括接口信号诊断与系统状态诊断两个方面。
问题:在不同的数控系统中，状态诊断的内容与方法是否相同？,答案:在不同的数控系统中，状态诊断的内容与方法不尽相同。
问题:以哪个系统为例列出了主要接口信号与对应的诊断参数范围？,答案:以FS0系统为例，表2-1列出了FS0系统主要接口信号与对应的诊断参数范围。
问题:对于数字I/O信号，诊断参数的每一字节的相应位与对应的输入/输出状态有何关系？,答案:对于数字I/O信号，诊断参数的每一字节的相应位与对应的输入/输出状态一一对应，1代表信号接通，0代表信号断开。
问题:通过什么可以获得大量维修时所需的信息？,答案:通过检查诊断参数可以获得大量维修时所需要的信息。
问题:在维修时最常用的方法之一是什么？,答案:通过 I/O 信号的状态诊断，确定故障部位和分析故障原因是维修时最常用的方法之一。
问题:I/O 信号的数量与构成在不同的系统中是否相同？,答案:在不同的系统中，I/O 信号的数量与构成有所不同。
问题:FANUC 系列数控系统可以分为哪两种形式？,答案:FANUC 系列数控系统可以分为不带内部 PMC 与带内部 PMCPLC两种形式。
问题:不带内部 PMC 的数控系统的 I/O 信号特点是什么？,答案:不带内部 PMC 的数控系统的 I/O 信号特点是：不论系统功能、I/O 单元如何，各输入、输出信号的作用和地址总是固定不变的。
问题:举例说明不带内部 PMC 的数控系统的 I/O 信号特点。,答案:对于 FSO 系统，输入 XO16 . 5 总是 X 轴参考点减速信号*DECX；输出 YO48 . O 总是 X 轴参考点到达信号等等。
问题:在不带内部 PMC 的系统中，CNC 与 PMC 间是否存在信号转换过程？,答案:在不带内部 PMC 的系统中，输入、输出信号与 CNC 侧的内部信号有何关系？
问题:什么是 FSOC 数控系统的 I/O 接口信号构成？,答案:FSOC 数控系统的 I/O 接口信号构成如图 2 – 11 所示。图中 XO16 . O ~ XO22 . 7 是从机床或操作面板到系统的输入信号；YO48 . O ~ YO53 . 7 是从系统到机床或操作面板的输出信号。它们与系统诊断数据 DGNO16 . O ~ O22 . 7、 DGNO48 .O ~ O53 . 7 一一对应；并且与 DGN116 . O ~ 122 . 7、DGN148 . O ~ 53 . 7 状态完全相同。
问题:带内部 PMC 的数控系统的 I/O 接口状态与信号构成是怎样的？,答案:带内部 PMC 的数控系统的 I/O 接口状态与信号构成如图 2 – 12 所示。图 2 – 12 中，X016 . 0 ~ X022 . 7，X000 . 0 ~ X008 . 7，X010 . 0 ~ X014 . 7 是从机床或操作面板到系统的输入信号；Y048 . 0 ~ Y053 . 7，Y080 . 0 ~ Y082 . 7，Y084 . 0 ~ Y086 . 7 是从系统到机床或操作面板的输出信号。
问题:什么是系统诊断数据 DGN016 . 0 ~ 022 . 7，DGN000 . 0 ~ 008 . 7，DGN010 . 0 ~ 014 . 7，DGN048 . 0 ~ 053 . 7，DGN080 . 0 ~ 082 . 7，DGN084 . 0 ~ 086 . 7 的对应关系？,答案:系统诊断数据 DGN016 . 0 ~ 022 . 7，DGN000 . 0 ~ 008 . 7，DGN010 . 0 ~ 014 . 7，DGN048 . 0 ~ 053 . 7，DGN080 . 0 ~ 082 . 7，DGN084 . 0 ~ 086 . 7 与 G100 . 0 ~ G131 . 7 一一对应。
问题:什么是从 PMC 输出到 CNC 的内部信号PMC 输出？,答案:从 PMC 输出到 CNC 的内部信号PMC 输出是 G100 . 0 ~ G131 . 7。
问题:什么是从 CNC 输入到 PMC 的内部信号PMC 输入？,答案:从 CNC 输入到 PMC 的内部信号PMC 输入是 F148 . 0 ~ F178 . 7。
问题:什么是系统诊断数据 DNG100 . 0 ~ DNG131 . 7，DNG148 . 0 ~ DNG148 . 7 的对应关系？,答案:系统诊断数据 DNG100 . 0 ~ DNG131 . 7 与 G100 . 0 ~ G131 . 7 一一对应，DNG148 . 0 ~ DNG148 . 7 与 F148 . 0 ~ F178 . 7 一一对应。
问题:在这种情况下，DNG16 . 2 与 DNG116 . 2 之间有何不同？,答案:前者代表来自机床侧的输入信号 X16 . 2，后者代表由 PMC 输出到 CNC 的内部信号 G116 . 2，其作用与意义有本质区别。
问题:当系统采用了附加 I / O 单元 B2 时，增加了哪些输入信号？,答案:系统增加了输入信号 X1OOO. O ~ X1O12 . 7，它们是从机床或操作面板到系统的输入信号。
问题:当系统采用了附加 I / O 单元 B2 时，增加了哪些输出信号？,答案:系统增加了输出信号 Y1O2O. O ~ Y1O28 . 7，它们是从系统到机床或操作面板的输出信号。
问题:在 FANUC 系统中，如何检查、诊断接口信号状态？,答案:在 FANUC 系统中，可以通过系统的 MDI / CRT 面板检查、诊断接口信号状态。
问题:FANUC 系统中检查到的接口信号状态是否一定准确？,答案:不一定准确，当系统与外部信号连接的接口电路如输入接收器或输出驱动器发生故障时，诊断信号的状态将与实际输入、输出不同。
问题:如何在数控系统中进行状态诊断操作？,答案:状态诊断是维修数控机床的重要手段，可以通过参考数控系统的维修说明书进行。部分系统还可以通过修改输入、输出缓冲存储器的内容，对外部信号进行模拟输入/输出。
问题:FSO/6 输入/输出信号的状态诊断步骤是什么？,答案:FSO/6 输入/输出信号的状态诊断步骤如下：1按系统 MDI/CRT 操作面板上的 DGNOS 键；2按系统 MDI/CRT 操作面板上的 PAGE 键换页或 CURSOR光标移动键，逐页显示诊断信号的状态；3在系统显示诊断页面时，通过输入诊断地址及 INPUT 键，直接搜索所需要的诊断页面。
问题:如何在系统中显示维修页面？,答案:在系统显示“机能选择”页面时，按下系统 MDI / CRT 的软功能键 SERVIC，显示系统维修页面。
问题:如何进入诊断页面？,答案:可以通过以下两种方式进入诊断页面：1按系统 MDI/CRT 的软功能键 CHAPTER，使显示器出现较功能键 DGNOS，然后按系统 MDI/CRT 的软功能键 DGNOS；2多次按系统 MDI/CRT 的软功能键 SERVICE。
问题:如何逐页显示诊断信号的状态？,答案:按系统 MDI/CRT 操作面板上的 RAGE 键换页或 CURSOR光标移动键，可以逐页显示诊断信号的状态。
问题:如何直接搜索所需要的诊断参数？,答案:切换到操作选择页面，按下软功能键 INP – NO 进入操作引导方式；在面板上用地址与数字键，输入诊断地址后，按 EXEC 键即可直接搜索所需要的诊断参数。
问题:什么是FS15的输入/输出信号的状态诊断？,答案:如何进行FS15的输入/输出信号的状态诊断？
问题:如何逐页显示诊断信号的状态？,答案:可以通过按系统 MDI/CRT 操作面板上的 PAGE 键或 CUROR光标移动键逐页显示诊断信号的状态。
问题:在部分 FANUC 系统中，如何对外部信号进行模拟输出？,答案:在部分 FANUC 系统中，在 PLC 停止程序运行时，可以通过修改输入、输出缓冲存储器的内容，对外部信号进行模拟输出。以 FS0 为例，其操作步骤如下：5按系统 MDI/DPL 操作面板上的数字键，输入参数 P=EA1，使参数写入“使能”。
问题:如何在 CNC 系统上显示诊断页面？,答案:按系统 MDI/CRT 操作面板上的 DGNOS 键。
问题:如何在诊断页面中切换页面？,答案:按系统 MDI/CRT 操作面板上的 PAGE 键换页。
问题:如何将光标移动到需要输出的信号下？,答案:按 CURSOR光标移动键，或通过输入诊断地址及 INPUT 键。
问题:如何输入诊断数据？,答案:按系统 MDI/CRT 操作面板上的数字键。
问题:如何发送外部模拟输出信号？,答案:按 INPUT 键或 START 键。
问题:在发送外部模拟输出信号时需要注意什么？,答案:由于输出信号的模拟发送直接控制了机床的动作，因此这一操作要在对机床的机械结构，特别是动作的“互锁”条件十分了解的前提下，才能进行以上操作；此外，PMC 的工作也必须处于停止状态，因此，本方法通常只能在机床首次调试时使用，维修人员如无十分把握，最好还是使用手动操作电磁元器件等措施，进行输出信号的模拟控制。
问题:在 FANUC 系统中，可以通过什么方式检查系统的实际工作状态？,答案:通过系统的显示面板，可以检查、诊断 I/O 接口信号的状态以及系统的实际工作状态。
问题:当机床在自动工作方式下，系统无报警，“循环起动”指示灯亮，但机床却没有动作即出现所谓的“死机”时，可以借助什么信息观察系统的停机原因？,答案:可以借助系统的显示面板，观察自动运行停止诊断参数及含义，从而确定系统的停机原因。
问题:在 FANUC 系统中，自动运行停止诊断参数号为多少？,答案:在 FSO / 6 系统中，自动运行停止诊断参数号为 DGN7OO、7O1。
问题:当 DGN7OO、7O1 对应位状态为“1”时，代表的意义包括哪些？,答案:当 DGN7OO、7O1 对应位状态为“1”时，代表的意义包括等待主轴转速到达信号、轴互锁信号接通、进给信率为 O%、进行到位检测、暂停指令执行中、运动指令执行中、M、S、T 指令执行中等。
问题:CRST代表什么？,答案:CRST代表外部复位生效、复位按钮接通、复位与倒带信号生效。
问题:CTRUD和CTPU代表什么？,答案:CTRUD代表纸带阅读机接口的数据输入中，CTPU代表纸带阅读机接口的数据输出中。
问题:FS11诊断参数地址及意义是什么？,答案:在FS11系统中，自动运行停止诊断参数号为DGN1000、DGN1001，对应位状态为“1”时代表的意义如下：
问题:DGN1001显示了什么信息？,答案:DGN1001显示了自动方式下、系统无报警、“循环起动”指示灯亮、但机床没有动作的原因。
问题:DGN1000中bito位状态显示为“1”代表什么？,答案:DGN1000中bito位状态显示为“1”代表正在进行到位检测。
问题:DGN1000中bitl位状态显示为“1”代表什么？,答案:DGN1000中bitl位状态显示为“1”代表进给速度倍率为0%。
问题:DGN1000中bit3位状态显示为“1”代表什么？,答案:DGN1000中bit3位状态显示为“1”代表轴互锁信号或起动互锁信号接通。
问题:DGN1000中bit4位状态显示为“1”代表什么？,答案:DGN1000中bit4位状态显示为“1”代表等待主轴转速到达信号。
问题:DGN1000中bit5位状态显示为“1”代表什么？,答案:DGN1000中bit5位状态显示为“1”代表等待主轴零脉冲信号。
问题:DGN1000中bit6位状态显示为“1”代表什么？,答案:DGN1000中bit6位状态显示为“1”代表等待主轴位置信号。
问题:DGN1000中bit7位状态显示为“1”代表什么？,答案:DGN1000中bit7位状态显示为“1”代表纸带读入中。
问题:DGN1001中bit0位状态显示为“1”代表什么？,答案:DGN1001中bit0位状态显示为“1”代表后台编辑纸带读入中。
问题:FS 0i/PMO / 16 / 18诊断参数地址及意义是什么？,答案:在FANUC 0i/PM0 / 16 / 18系统中，可以直接通过诊断参数DGN000至DGN016显示自动运行状态，这些信息指示了系统在执行自动指令时所处的状态。
问题:当机床在自动工作方式下，系统无报警，但“循环起动”指示灯不亮，机床不能执行自动加工程序时，可以借助哪些信息观察故障原因？,答案:可以借助FS0/6诊断参数地址及意义进行观察。
问题:在FSO/6系统中，当自动操作方式下的加工过程出现停止时，诊断参数DGN712提供了什么信息？,答案:诊断参数DGN712提供了自动加工中断以及“循环起动”灯关闭可能的原因。
问题:在故障发生后，如何检查DGN712的状态？,答案:应在故障发生后立即进行检查，若故障发生后系统电源被切断，当电源再次接通时，DGN712所有位将被清零。
问题:问题：表2-5中的状态含义是什么？,答案:答案：表2-5中的状态含义是通过各诊断数据的状态组合，可以分析、确定系统实际所处的状态。
问题:问题：在FS11系统中，当自动操作方式下的加工过程出现停止时，DGN1010的信息指示了什么？,答案:答案：在FS11系统中，当自动操作方式下的加工过程出现停止时，DGN1010的信息指示了由于“复位”信号引起“循环起动”灯STL关闭的原因。
问题:问题：DGN1010对应位为“1”的含义是什么？,答案:答案：DGN1010对应位为“1”的含义如下：
问题:问题：在FS15系统中，当自动运行方式下的加工出现停止时，DGN1005 ~ DGN1010的信息指示了什么？,答案:答案：在FS15系统中，当自动运行方式下的加工出现停止时，诊断参数DGN1005 ~ DGN1010的信息指示了自动加工中断，以及“循环起动”灯STL关闭可能的原因。
问题:DGN1OO8中，哪些位代表后台编辑出现P/S报警和系统过热？,答案:DGN1OO8中的bitO代表后台编辑出现P/S报警，bit2代表系统过热。
问题:DGN1OO9中，哪些位代表系统处于警告状态？,答案:DGN1OO9中的bitO代表系统处于警告状态。
问题:DGN1O1O中，哪些位代表系统紧停信号生效和外部复位信号生效？,答案:DGN1O1O中的bitO代表系统紧停信号生效，bit2代表外部复位信号生效。
问题:在FANUC oi/PMO系统中，如何通过诊断参数地址显示自动运行停止状态？,答案:在FANUC oi/PMO系统中，可以通过诊断参数DGN020到DGN025进行自动运行停止状态的显示。
问题:什么是DGN3000和FS 0i/PM0/16/18诊断参数地址？,答案:DGN3000和FS 0i/PM0/16/18诊断参数地址与轴选择对应，用于显示X、Y、Z、4、5轴的位置跟随误差。
问题:FANUC系统还可以诊断哪些报警信号？,答案:FANUC系统还可以对各轴伺服驱动器以及编码器的各种报警信号进行诊断，以确定故障的原因。
问题:当数控系统发生报警时，通常如何显示报警信息？,答案:当数控系统发生报警时，通常情况下可以在系统显示器上显示报警号与报警内容。
问题:如果与显示功能有关的部分发生故障，如何进行故障分析、诊断与维修？,答案:如果与显示功能有关的部分发生故障，必须依靠系统主权或其他部分的指示灯LED的状态，进行故障分析、诊断与维修。
问题:对于 FANUC 6 系统主板，有哪些 LED 指示灯用于显示系统错误状态？,答案:FANUC 6 系统主板上有五个 LED 作为系统错误状态指示。
问题:>DALM 指示灯亮起时，表示什么错误状态？,答案:>DALM 指示灯亮起时，表示系统监控报警。常见原因包括系统 RAM 出错或系统功能参数设定错误。
问题:LED0 ~ 3 指示灯表示什么？,答案:LED0 ~ 3 指示灯用于指示系统错误，其状态显示见表 2 – 7。
问题:当系统出现 RAM 出错或系统功能参数设定错误时，如何进行清除？,答案:在某些场合，一般可以通过 RAM 的初始化操作进行清除。
问题:如何在 FANUC 6 系统中进行 RAM 测试？,答案:要进行 RAM 测试，需要按照以下步骤操作：6. 再次按 START 键，进行 RAMI 测试。7. 重复按 START 键，完成对全部RAMO RAM41O的测试。
问题:RAM 测试结果状态与故障的 RAM 有何对应关系？,答案:测试结果状态与故障的 RAM 对应关系可参见表 2 – 7。
问题:如何显示 FANUC 11 系统的报警？,答案:FANUC 11 系统的报警可以通过主板或 CRT 显示器进行显示。
问题:当系统出现报警时，报警信息通常在哪个设备上显示？,答案:当系统出现报警时，报警信息通常在 CRT 显示器上显示。
问题:如果系统与显示有关部分发生报警，如何进行诊断？,答案:如果系统与显示有关部分发生报警，可以通过主板上的指示灯或数码管的显示进行诊断。
问题:FANUC 11 系统主板上安装了什么设备来显示指示信息？,答案:FANUC 11 系统主板上安装了 7 段显示 LED 来显示指示信息。
问题:通过 CRT 显示器可以显示 FANUC 11 系统的哪些系统错误？,答案:通过 CRT 显示器可以显示 FANUC 11 系统的电源接通时的报警和正常工作过程中出现的报警。
问题:在FS11中，电源接通时可能出现的系统报警在哪个表中可以找到？,答案:表2-9中列出了电源接通时可能出现的系统报警。
问题:在FANUC11中，系统工作时可能出现的系统报警在哪个表中可以找到？,答案:表2-10中列出了系统工作时可能出现的系统报警。
问题:FANUC PMO主板报警的发光二极管有哪几个？,答案:FANUC PMO主板报警有4个发光二极管。
问题:FANUC PMO主板报警中，哪个发光二极管指示系统工作正常？,答案:SO绿发光二极管指示系统工作正常。
问题:FANUC PMO主板报警中，哪个发光二极管在系统发生任何报警时均亮？,答案:S红发光二极管在系统发生任何报警时均亮。
问题:FANUC PMO主板报警中，哪个发光二极管指示电源单元正常？,答案:EN绿发光二极管指示电源单元正常。
问题:FANUC PMO主板报警中，哪个发光二极管指示系统监控报警？,答案:D红发光二极管指示系统监控报警。
问题:当EN指示灯不亮时，表示什么？,答案:当EN指示灯不亮时，代表电源模块或电源连接存在故障。
问题:S1指示灯亮起时，表示什么？,答案:S1指示灯亮起表示系统存在报警，但与系统本身故障的诊断关系不大。
问题:当系统监控报警指示灯2D亮起时，可能的原因有哪些？,答案:当系统监控报警指示灯2D亮起时，可能的原因有：轴控制板脱落、损坏或连接不良；主板脱落、损坏或连接不良；轴控制板与ROM配置错误，等等。
问题:FANUC 0主板报警指示灯有哪些？,答案:FANUC 0主板报警指示灯有L、L、L、L、L和L。
问题:当L指示灯亮起时，表示什么？,答案:当L指示灯亮起时，表示系统监控报警。
问题:什么是 FANUC15/15O 系统模块的状态显示与故障诊断？,答案:FANUC15/15O 系统模块的状态显示与故障诊断是指当模块或系统出现错误时，通过状态指示灯的状态来指示引起报警的大致原因，以帮助维修诊断。
问题:FANUC15/15O 系统有哪些组成模块？,答案:FANUC15/15O 系统根据系列型号与系统配置的不同，组成模块有较大的区别，以 FS15/15OB 为例，通常由主板CPU Board、PMC 板PMC Board、RISC 板RISC Board、附加轴控制板选件：ADAX Board、图形显示/DNC 接口板Option 1 Board等组成。
问题:状态指示灯在 FANUC15/15O 系统中的作用是什么？,答案:在 FANUC15/15O 系统中，每个模块上都设有状态指示灯，当模块或系统出错时，这些指示灯会显示不同的状态，帮助维修人员快速确定引起报警的大致原因。
问题:FANUC15/15O 系统的状态指示灯有哪些？,答案:FANUC15/15O 系统的状态指示灯包括电源指示灯、运行指示灯、CPU 故障指示灯、PMC 故障指示灯、RISC 故障指示灯、DNC 接口故障指示灯、ADAX 故障指示灯等。
问题:如何通过状态指示灯诊断 FANUC15/15O 系统的故障？,答案:通过观察状态指示灯的状态，维修人员可以判断出系统故障的大致原因，然后根据具体的报警信息和故障代码，进行详细的故障诊断和维修。
问题:主板的状态显示与故障诊断FS15/150B系统主板CPUBoard上主要安装有哪几个模块？主板上设有几个状态指示灯STATUS和几个报警指示灯ALARM？,答案:主板上设有4个状态指示灯STATUS和3个报警指示灯ALARM。
问题:PMC板状态显示与故障诊断FS15/150B系统PMC板主要安装有哪几个模块？在FS15TF/MF/TTF等系统中，PMC板还安装了什么模块？,答案:PMC板主要安装有PMC CPU模块、DRAM模块、SRAM模块、ROM模块、FLASH ROM模块、PMC引导程序等。在FS15TF/MF/TTF等系统中，PMC板还安装有人机会话CPU模块。
问题:在 PMC 板上，有多少个状态指示灯和报警指示灯？,答案:PMC 板上设有 4 个状态指示灯和 3 个报警指示灯。
问题:这些指示灯的含义是什么？,答案:这些指示灯用于指示 PMC 权状态，其含义见表 2 – 12。
问题:FANUC 16/18/160/180 系统有哪些组成模块？,答案:FANUC 16/18/160/180 系统的组成模块因系统配置和规格的不同而有所区别。其中，FS16/18/160/180B 类似于 FS15/150B，FS16/18/160/180C 的组成与 FS15/150B 有所区别。通常，这些系统由主板CPU Board、DNC 接口板Option 1 Board、PMC 板Option 3 Board、输入控制板Loader Contrl Board和 I/O 板I/O Card等组成。
问题:FS16 / 18 / 160 / 180C 控制板上安装了多少个状态指示灯和报警指示灯？,答案:FS16 / 18 / 160 / 180C 控制板上安装了 4 个状态指示灯和 3 个报警指示灯。
问题:这些指示灯的作用是什么？,答案:这些指示灯用于指示各控制板的工作状态，当模块或系统出错时，通过这些状态指示灯和报警灯，可以指示引起报警的大致原因，以帮助诊断维修。
问题:FS16 / 18 / 160 / 180B 系统主板上安装了哪些组件？,答案:FS16 / 18 / 160 / 180B 系统主板上主要安装有主 CPU 模块、DRAM 模块、SRAM 模块、FROMISRAM 模块、主轴控制模块、PMC 控制模块、CRT 文本显示控制模块、6 轴伺服控制模块等组件。
问题:当系统主板出错时，如何判断引起报警的大致原因？,答案:当系统主板出错时，可以通过主板上的 4 个状态指示灯和 3 个报警指示灯与报警灯，指示引起报警的大致原因。
问题:当 CNC 接通电源后，主板上的状态指示灯显示什么？,答案:主板上的状态指示灯显示系统的初始化过程。
问题:FS16/18/160/180C 输入控制板上安装了哪些组件？,答案:输入控制板上安装有输入控制 FLASH ￥ ROM 模块、DRAM 模块、RMC 控制模块、4 轴伺服控制模块等组件。
问题:输入控制板上的状态指示灯和报警指示灯分别有几个？,答案:输入控制板上设有 4 个状态指示灯SIAIHS和 3 个报警指示灯ALARM。
问题:FS16 / 18 / 160 / 180C 的 PMC 板上安装了哪些组件？,答案:PMC 板上安装有 CAP – O控制 ROM 模块、PMC DRAM 模块、PMC 控制模块等组件。
问题:PMC 板用于什么控制？,答案:PMC 板用于 PMC 控制。
问题:个状态指示灯STATUS和 3 个报警指示灯ALARM在 PMC 板上起什么作用？,答案:这些指示灯用于指示 PMC 板的工作状态。
问题:SIEMENS 810/820 系统是什么时候开发的？,答案:SIEMENS 810/820 系统是西门子公司在 20 世纪 80 年代中期开发的 CNC、PLC 一体型控制系统。
问题:SIEMENS 810/820 系统适用于哪些类型的机床？,答案:SIEMENS 810/820 系统适合于普通车、铣、磨床的控制。
问题:SIEMENS 810/820 系统有哪些特点？,答案:系统结构简单、体积小、可靠性高，在 80 年代末、90 年代初的数控机床上使用较广。
问题:与 820 系统的区别是什么？,答案:与 820 系统的区别仅在于显示器，810 为 9in 单色显示，系统电源为直流 24V；820 为 12in 单色或彩色显示，系统电源为交流 220V，其余硬件、软件部分完全一致。
问题:/820系统可以控制多少轴，其中允许有多少个作为主轴控制？,答案:/820系统最大可控制6轴，其中允许有2个作为主轴控制。
问题:系统由哪些硬件组成？,答案:系统由电源、显示器、CPU板、存储器MEM/EPROM/RAM板、I/O板、接口板、显示控制板、位控板、机箱等硬件组成。
问题:系统的模块数量和整体结构如何？,答案:系统的模块少、整体结构简单，通常无需进行硬件调整和设定。
问题:系统软件上增加了哪些功能，为加工程序的编制提供了方便？,答案:系统软件上，增加了蓝图编程、固定循环、极坐标编程、CL800语言编程等功能，为加工程序的编制提供了方便。
问题:PLC采用哪种语言编程，提供了哪些功能块？,答案:PLC采用STEPS语言编程，指令丰富，通过OB、PB、SB、FB等功能块为结构化编程提供了良好的环境。
问题:/820系统是否具有“通道”控制功能，可以同时工作多少个通道？,答案:/820系统具有“通道”控制功能，可以两个通道同时工作。
问题:什么是 SIEMENS 802 系列系统？,答案:SIEMENS 802 系列系统是西门子公司 20 世纪 90 年代末开发的集 CNC、PLC 于一体的经济型控制系统。系统性能价格比较高，适合于经济型、普及型车、铣、磨床的控制。
问题:SIEMENS 802 系列系统有哪些型号？,答案:SIEMENS 802 系列系统包括 802S / Se / Sbase line、802C / Ce / Cbase line、802D 等型号。
问题:SIEMENS 802 系列系统的特点是什么？,答案:SIEMENS 802 系列系统的特点是结构简单、体积小、可靠性高；此外系统软件功能也较强。
问题:SIEMENS 802S 和 802C 系列有什么区别？,答案:SIEMENS 802S、802C 系列是 SIEMENS 公司专为简易数控机床开发的经济型系统。802S / Se / Sbase line 系列采用步进电动机驱动；802C / Ce / Cbase line 系列采用数字式交流伺服驱动系统。
问题:SIEMENS 802S、802C系列系统的CNC结构可以进行多少轴控制/联动？,答案:可以进行3轴控制/3轴联动。
问题:SIEMENS 802S、802C系列系统可以配哪种操作面板？,答案:可以配OP020独立操作面板与MCP机床操作面板。
问题:SIEMENS 802S、802C系列系统的显示器尺寸有哪两种？,答案:显示器为7in或5.7in单色液晶显示。
问题:集成内置式PLC最大可以控制多少点输入与输出？,答案:最大可以控制64点输入与64点输出。
问题:PLC的I/O模块与ECU间通过什么连接？,答案:通过总线连接。
问题:D与802S、802C有哪些不同？,答案:在功能上比802S/C系统有了改进与提高，系统采用SIEMENS PCU210模块，控制轴数为4轴/4轴联动，可以通过611U伺服驱动器携带10V主轴模拟量输出，以驱动带模拟量输入的主轴驱动系统。
问题:什么是OP020独立NC键盘和MCP机床操作面板？,答案:OP020独立NC键盘和MCP机床操作面板是可用于802D系统的机床操作面板。
问题:D系统采用了什么类型的显示器，与8025/C系统相比有何优势？,答案:D系统采用了10.4英寸彩色液晶显示器，比8025/C系统的5.7英寸或7英寸单色液晶显示具有更好的操作性能。
问题:系统与驱动、I/O模块间如何连接？,答案:系统与驱动、I/O模块间利用PROFIBUS总线进行连接。
问题:I/O模块采用了哪种类型的输入、输出单元，每个系统最多可以配备多少个？,答案:I/O模块采用了独立的输入、输出单元PP72/48 I/O单元，每个系统最多可以配备两个PP72/48/I/O单元。
问题:最大可以配备多少个输入/输出点？,答案:最大可以配备144/96个输入/输出点。
问题:D系统的伺服驱动与哪个系统相同，通常使用什么软件进行调试？,答案:D系统的伺服驱动与802C系统相同，通常采用SIEMENS 611数字式交流伺服驱动系统，驱动器的调试可以直接利用SIMOCOMU软件完成。
问题:D在编程功能上进行了哪些改进？,答案:D在软件上增加了PLC程序“梯形图”显示功能，并可以使用非SIEMENS代码指令进行编程，系统的开放性更强。
问题:D的系统结构由哪些部分组成？,答案:D的系统结构包括SIEMENS8O2D结构图。
问题:OD / 84OD 系统可以在哪个环境下运行？,答案:OD / 84OD 系统可以在 IINDOIS 环境下运行。
问题:系统有哪些先进功能？,答案:系统除具有数字化仿形功能、NURBS 插补、样条插补、多项式插补、3D 刀补等先进功能外，还可以配套 ShopMill铣床、加工中心或 ShopTurn、AUTOTURN数控车床图形对话式操作、编程软件，直接使用人机对话式编程。
问题:系统可以进行哪些模拟显示？,答案:系统可以进行 2D 动态模拟显示与 3D 立体图形模拟显示。
问题:通过配套哪个软件可以进行用户屏幕设计？,答案:通过配套 EASYMASK 软件，可以进行用户屏幕设计。
问题:系统的 PLC 编程可以采用哪个图形辅助编程工具？,答案:系统的 PLC 编程可以采用 S7 – HiGraph 点阵图形辅助编程工具。
问题:什么是神经网络功能，它如何工作？,答案:神经网络功能是一种通过自学习和自优化系统自动完成伺服系统优化调整的功能，这大大缩短了系统的调整时间。
