questions,answers
润滑油箱油面低于极限时，系统会如何提示？,润滑油箱油面低于极限时，系统会有报警提示（此时机床可以运行）。
继电器 KA6 在润滑系统中起到什么作用？,PMC 控制输出继电器 KA6，继电器 KA6 常开控制接触器 KM6 线圈，从而实现机床润滑自动控制。
系统 PMC 输入输出信号中，哪些信号与润滑系统相关？,QMD 为空气断路器的常开点，作为系统润滑泵过载与短路保护的输入信号；SL 为润滑系统油面检测开关（润滑油面下限到位开关），作为系统润滑油过低报警提示（需要添加润滑油）的输入信号；SB5 为数控机床面板上的手动润滑开关，作为系统手动润滑的输入信号；KAl 为机床就绪继电器（如机床液压泵控制继电器）的常开点，作为系统机床就绪的输入信号；HL 为机床润滑报警灯的输出信号。
什么定时器用于控制机床首次开机的润滑时间？,固定定时器15用于控制机床首次开机的润滑时间。
机床自动润滑的间隔时间控制采用什么定时器，为什么采用这种定时器？,机床自动润滑的间隔时间控制采用可变定时器TMROl和TMR02的串联，因为用户有时需要进行调整，采用可变定时器可以方便用户通过PMC参数界面的定时器界面进行设定或修改。
机床首次开机时，启动机床润滑泵电动机输出的信号是什么？,机床首次开机时，启动机床润滑泵电动机输出的信号是Y0.5。
机床运行过程中，润滑的时间由哪个定时器设定？,机床运行过程中，润滑的时间由固定定时器14设定。
什么信号用于切断机床首次开机的自动润滑回路？,固定定时器15的延时断开常闭点R526.6用于切断机床首次开机的自动润滑回路。
转塔电动机反转控制时间要求是多少？,0.7s
在转塔电动机正反转控制过程中，需要哪些延时控制？,正转停止延时时间和反转开始的延时
自动换刀指令执行后，需要检测哪个信号才能完成 T 码功能？,转塔锁紧到位信号
在自动换刀控制过程中，需要对电动机进行哪些保护？,过载、短路及温度过高保护
在自动运行中，程序的 T 码错误时，需要显示哪些报警信息？,T=O 或 T~7 的报警信息
什么是 T 码错误报警信息？,   - 答：当程序指令的 T 码为 0 或大于等于 7 时，系统会显示 T 码错误报警信息。
当程序指令的 T 码与转塔实际刀号不一致时，会发生什么？,   - 答：系统会发出转塔分度指令，转塔电动机正转，松开锁紧凸轮，凸轮带动刀盘转位，同时角度编码器发出转位信号。
转塔分度指令发出后，电动机如何工作？,   - 答：电动机正转，经过定时器 01 的延时后，切断转塔电动机正转输出信号，同时接通反转运行开始定时器。
转塔电动机反转运行后，会发生什么？,   - 答：定位销进行粗定位、端齿盘啃合进行精定位，锁紧凸轮进行锁紧并发出转塔锁紧到位信号，经过反转停止延时定时器的延时后，发出电动机反转停止信号，切断转塔电动机反转运转输出信号。
什么是转塔锁紧到位信号，它在换刀自动控制中的作用是什么？,转塔锁紧到位信号是 X2.5，它在换刀自动控制中用于接通 T 辅助功能完成指令，并使系统辅助功能结束指令信号 G4.3 为 1 切断转塔分度指令 R0.3，从而完成换刀的自动控制。
在换刀过程中，当哪些信号动作时，系统会立即停止换刀动作并发出系统换刀故障信息？,在换刀过程中，当换刀过程超时 (TMR04)、电动机温升过高 (X2.4) 及电动机过载/短路保护断路器 QF4(X2.7) 信号动作时，系统会立即停止换刀动作并发出系统换刀故障信息。
什么是刀套编码方式，它有什么特点？,刀套编码方式是一种只认刀套不认刀具的刀具交换方式。在自动交换过程中，刀具必须放回原来的刀套内。使用刀套编码方式控制刀库选刀时，要防止把刀具放入与编码不符的刀套内，以免引发事故。
随机换刀方式是什么，如何实现刀具识别？,随机换刀方式是一种允许刀库上的刀具与主轴的刀具任意地直接交换的刀具交换方式。实现刀具识别需要在PLC内部设置一个模拟刀库的数据表，数据表的表序号与刀库刀套编号相对应，每个表序号中的内容就是对应刀套中所放的刀具号。通过外部检测装置检测刀库旋转时的换刀位置，产生脉冲信号送到PLC，作为数据表序号指针。当PLC接到寻找新刀具的指令后，在模拟刀库的刀号数据表中进行数据检索，检索到T代码给定的刀具号，将该刀具号所在数据表中的表序号存放在一个地址单元中，这个表序号就是新刀具在刀库的目标位置。
什么是随机换刀控制，如何实现？,随机换刀控制是在执行 M06 指令时，机床主轴准停，机械手执行换刀动作，将主轴上用过的旧刀和刀库上选好的新刀进行交换，并修改现在位置地址中的数据，确定当前换刀位置的刀套号。在 FANUC PLC 中，应用数据检索功能指令 (DSCH) 、符合检查功能指令（仅）IN 和旋转指令 (ROT) 和逻辑”与“后传输指令 (MOVE) 即可完成随机换刀控制。
图 2-49 中，换刀位置（刀库现在位置）的地址是什么？,图 2-49 中，换刀位置（刀库现在位置）的地址为 0164。
在 CDIN 功能指令中，作为比较值地址的地址是什么？,在 CDIN 功能指令中，作为比较值地址的地址为 0164。
当前刀套号以什么形式存储在 0164 地址中？,当前刀套号以 2 位 BCD 码的形式存储在 0164 地址中。
DSCH 功能指令中的参数 1 是什么？,DSCH 功能指令中的参数 1 为数据表容量，本例刀库共有 9 把刀，建立的刀号数据表有 9 个数，故本参数设定值为 0009。
DSCH 功能指令中的参数 3 是什么？,DSCH 功能指令中的参数 3 为检索数据地址，其作用就是将 T 指令中的 14 号刀从数据表中检索出来，并将 14 号刀以 2 位 BCD 码的形式 (00010100) 存入 0117 地址单元中，故本参数为 0117。
DSCH 功能指令中的参数 4 是什么？,DSCH 功能指令中的参数 4 为检索结果输出地址，其作用就是将 14 号刀所在数据表中的序号 6 以 2 位 BCD 码的形式 (00000101) 存入到 0151 地址单元中，故本参数为 0151。
什么指令在 CNC 读到 T14 代码时开始检索并将刀号存入地址 0117？,当 CNC 读到 T14 指令代码信号时，将此信息送入 PLC。TF(114.3) 闭合，开始 T 代码检索，将 14 号刀号存入 0117 地址。
DSCH 功能指令如何处理检索数据？,上电后，常闭触点 A(128. l) 断开，故 DSCH 功能指令按 2 位 BCD 码处理检索数据。
什么是 CDIN 指令，何时开始执行？,当 TERR 由 DSCH 指令置 ”l” 后，CDIN 指令即开始执行。因地址 0151 与 0164 内数据不一致，则输出 TCDIN(l28.3) 为 “0” ，作为刀库旋转 ROT 功能指令的启动条件。
在 ROT 功能指令中，参数 1、2、3、4 分别代表什么？,在 ROT 功能指令中，参数 1 为旋转检索数，即旋转定位点数，对本例，该参数为 8 ；参数 2 为现在位置的地址，因当前刀套号 5 存在 0164 地址内，故参数 2 为 0164 ；参数 3 为目标位置地址，因指令要求 T14 号刀具的刀套号 6 存在 0151 地址内，故参数 3 为 0151 ；参数 4 为计算结果输出地址，本例选定为 0152。
什么是 ROT 指令，其执行过程中如何计算刀库位置？,ROT 指令用于控制刀库的旋转，根据控制条件设定计算出刀库当前位置与目标位置相差的步数，并选择最短旋转捷径，输出旋转方向。
如何使用 MOVE 功能指令修改换刀位置的刀套号？,"MOVE 功能指令用于修改换刀位置的刀套号。在本梯形图中，将换刀前的刀套号 5 由换刀后的刀套号 6 替代，必须将地址 0151 内的数据照全样传输到 0164 地址中。因此 MOVE 指令中的参数 1 和参数 2 均采用全 ""1 ，经与 0151 地址内数据 6(BCD 码 00000110) 相 "" 与 "" 后，其值不变，照原样传送到 0164 地址中。"
当 ROT 指令执行完毕后，如何执行数据传送任务？,当 ROT 指令执行完毕后， T 功能完成信号 TFIN(128.5) 的常开触点使 MOVE 指令开始执行，完成数据传送任务。
什么是 PLC，它在数控机床中的作用是什么？,可编程逻辑控制器 (PLC) 是一种用于顺序控制的自动化控制器。在数控机床中，PLC 用于完成诸如主轴正转和反转、进给运动的启动和停止、刀库及换刀机械手控制、工件夹紧松开、工作台交换、冷却和润滑等辅助动作的顺序控制。输入输出故障是数控机床运行过程中最常见的故障，这是因为组成输入输出的各类开关元件受到机械磨损、油气侵蚀等因素的影响，造成开关可靠性下降以致失灵，引起机床动作障碍。
FANUC 数控机床的输入输出由什么控制？,FANUC 数控机床的输入输出由 PMC 控制完成。
什么是PMC，它如何控制外部开关输入信号？,PMC是Programmable Machine Controller的缩写，它接收来自机床侧的开关信号，通过逻辑运算后输出给控制对象。
PMC如何控制伺服系统？,PMC通过输出信号控制主轴和伺服进给驱动装置的使能信号，以满足伺服驱动的条件，从而驱动主轴电动机、伺服进给电动机和刀库电动机等。
PMC如何处理报警控制？,PMC收集强电柜、机床侧和伺服驱动装置的故障信号，将报警标志区中的相应报警标志位置位，数控系统便显示报警号及报警文本以方便故障诊断。
PMC如何控制软盘驱动装置？,通过控制软盘驱动装置，PMC可以实现与数控系统进行零件程序、机床参数、零点偏置和刀具补偿等数据的传输。
PMC如何控制转换控制？,在某些可以立/卧转换的加工中心中，PMC在进行立/卧转换时，会完成切换主轴控制接触器、在线自动修改有关机床数据位以及切换伺服系统进给模块和用于坐标轴控制的各种开关、按键等动作。
FANUC 数控系统如何实现 PMC 的操作和调试？,FANUC 数控系统可通过屏幕对 PMC 实施操作，包括梯形图的显示、各种信号的监控与诊断、PMC 寄存器的参数设定、编辑程序以及系统参数查阅等。
FANUC 数控系统的 PMC 内装调试功能包括哪些方面？,PMC 内装调试功能包括顺序程序的显示功能、诊断功能、数据设定和显示、顺序程序编辑功能等。诊断功能包括 PMC 标题数据显示、各种输入信号状态显示、PMC 报警显示、输入输出信号扫描、存储器内容显示、信号波形显示和 I/O 连接状态显示等。
如何在 FANUC 数控系统中显示 PMC 界面？,"在 FANUC 数控系统中，可以按功能键 ""SYSTEM”，再按软键 [PMC] ，在屏幕上显示出 PMC 界面。"
FANUC 数控系统中的 PMC 界面包括哪些子界面？,PMC 界面包括三种 PMC 的子界面，可以在不同的子界面上进行 PMC 程序的调试操作。
如何显示 PMC 显示界面的标题数据？,答：在 PMC 基本菜单中按 [PMCDGN] 软键，就能显示 PMCDGN 界面，其中包括标题数据显示屏幕界面。
如何显示 PMC 数据设置及显示界面？,答：在 PMC 基本菜单中按 [PMCPRM] 软键，就能显示 PMCPRM 界面。该界面提供了定时器、计数器、保持型继电器和数据表等 PMC 数据。
如何显示顺序程序梯形图？,答：在 PMC 基本菜单中按 [PMCLAD] 软键，就能显示 PMCLAD 界面。该界面可以动态显示梯形图程序，并通过使用软键执行 CD 搜索、梯形图动态显示、屏幕分割显示和信号状态监控等功能。
在 PMC 基本菜单中按哪个软键可以显示 PMCLAD 界面？,按 [PMCLAD] 软键可以显示 PMCLAD 界面。
在 CRT 屏幕上每行可以显示多少个继电器触点和一个继电器线圈？,在 CRT 屏幕上每行可以显示 7 个继电器触点和一个继电器线圈。
如果继电器触点的个数超过 7 个，如何显示？,如果继电器触点的个数超过 7 个，可以用两行或更多行来显示。
在 PMCLAD 界面上显示的内容有哪些规定？,显示内容的规定包括：显示为绿色表示触点断开或继电器闭合，显示为白色表示触点闭合或继电器断开。
如何检索 PMC 梯形图？,检索 PMC 梯形图的方法包括：用光标移动键和翻页键变更显示位置，用软键 [TOP] 检索梯形图开头，用软键 [BOTTOM] 检索梯形图底部，按键盘输入“地址和位”或“信号名”后按软键 [SRCH]，按键盘输入“功能指令号”或“功能指令名”后按软键 [F-SRCH]。
什么是 ADRESS 显示信号？,ADRESS 显示信号是用地址号显示信号。按下正 [ADRESS] 软键，触点和线圈用相应的地址表示。
如何使用 [SYMBOL] 软键？,按下 [SYMBOL] 软键，触点和线圈用相应的符号表示。如果编程时没有输入符号，则显示地址。
什么是检索功能？,检索功能是从现在显示的开始位置向后进行，并且在开始显示首次检索到信号的梯形图。因为可能有几个接点，所以重复同样的检索。若一直检索到程序（梯形图）的最后仍没有发现指定的信号时，返回程序的开头，继续检索。
如何显示梯形图和信号状态？,梯形图和信号状态可以同时显示。状态显示在梯形图的最后一行进行 DUMP 显示。按软键 [DUMP] 时，用两行监控显示 PMC 地址。使用页面键 “PAGE” 和软键 [SEARCH] 变更地址。
BYTE] 和 [WORD] 的区别是什么？,[BYTE] 显示字节型 (1 字节）的 DUMP 界面，[WORD] 显示字型 (2 字节）的 DUMP 界面。
D.WORD] 显示了什么类型的 DUMP 界面？,答案: 长字型 (4 字节）的 DUMP 界面。 
梯形图参数显示是在哪个软键下进行的？,答案: 在软键 [DPARA] 下进行的。
如何停止梯形图的显示？,答案: 可以通过手动或者用触发信号来停止梯形图的显示。
触发器的设定显示包括哪些内容？,答案: 触发器的设定显示包括设定地址、设定条件和设定次数。
什么是 MOOE:ON: XOOOOO: 0: 0001 的含义？,MOOE:ON: XOOOOO: 0: 0001 是一种指定触发器检查的设定形式，用于指定 ON 信号上升沿 (TRGON) 的指定，OFF 信号下降沿 (TRGOFF) 的指定，触发器指定地址，触发器检查位置和触发器检查次数。
TRGON 和 TRGOFF 分别代表什么信号？,TRGON 代表 ON 信号上升沿，TRGOFF 代表 OFF 信号下降沿。
触发器指定地址、触发器检查位置和触发器检查次数分别表示什么？,触发器指定地址表示触发器的地址，触发器检查位置表示触发器检查的位置，触发器检查次数表示触发器检查的次数。
TRIGER 功能下的子菜单包括哪些内容？,TRIGER 功能下的子菜单包括 [TRGON] 和 [TRGOFF] 。其中，[TRGON] 指定地址信号上升，变成 ON 状态时停止；[TRGOFF] 指定地址信号下降，变成 OFF 状态时停止。
什么是触发器的执行/停止切换？,触发器进行执行/停止切换的功能是通过触发器进行控制。在执行中，“TRG”闪烁。
如何指定地址信号检索触发器停止指令？,指定地址信号检索触发器停止指令的功能是通过“TRGSRC”进行设置。
触发器的初始化设定功能是什么？,触发器初始化设定功能用于对触发器进行初始化设定。
软键[WINDOW]的功能有哪些？,软键[WINDOW]的功能包括：(1)分割显示当前显示的界面，指定梯形图的网号后可以进行界面分割显示；(2)结束界面分割，显示一个界面；(3)结束操作对象界面分割；(4)切换操作对象的界面；(5)用于变更界面宽度时，选择[EXPAND]、[SHRINK]；(6)扩大操作对象的界面的行数；(7)缩小操作对象的界面的行数。
如何显示PMC的诊断界面？,按软键[PMCDGN]，能够显示PMC的诊断（PMCDGN）界面。]
在 PMCDGN 界面中，可以显示哪些界面？,可以在 PMCDGN 界面中分别显示：TITLE（标题）界面、STATUS（状态）界面、ALARM（报警）界面、TRACE（跟踪）界面、存储器显示（M.SRCH）和ANALY（分析）等界面。
如何显示 TITLE（标题）界面？,要显示 TITLE（标题）界面，应按[TITLE]软键页。
STATUS（状态）界面用于显示什么内容？,STATUS（状态）界面用于显示输入、输出的信号，内部继电器等的开、关状态。程序中所有使用的地址（X、Y、F、G、R、A、C、K、D、T、M、N）的内容可在 CRT 屏幕上显示，以“0”或“1”的位模式显示。
如何在 STATUS（状态）界面显示指定地址的内容？,要在 STATUS（状态）界面显示指定地址的内容，需要按下[STATUS]软键，然后键入要显示的地址并按下[SEARCH]键，指定地址及其连续的 8 字节数据将以位模式显示在屏幕顶端。
如何在STATUS（状态）界面上显示另一个地址？,按下[SEARCH]或翻页键来显示另一个地址。
如何在STATUS（状态）界面上检索已指定的地址或信号名？,在STATUS（状态）界面上，可以通过输入“地址号”或“信号名”后，按下软键[SEARCH]来检索已指定的地址或信号名。
ALARM（报警）界面用于显示什么？,ALARM（报警）界面用于显示PMC中发生的报警信息。
如果PMC发生致命错误，顺序程序会怎样？,如果PMC发生致命错误，顺序程序不能启动。
如何在PMCDGN界面上显示ALARM（报警）界面？,在PMCDGN界面上，可以通过按软键[ALARM]来显示ALARM（报警）界面。
TRACE（跟踪）界面用于什么？,TRACE（跟踪）界面用于检查信号变化的履历。
如何使用TRACE（跟踪）界面调查间歇故障？,使用一或二字节地址，在跟踪存储器中记录了信号变化的状态。通过使用此功能，可以有效地调查间歇故障。
如何在PMCDGN屏幕上显示跟踪屏幕？,在PMCDGN屏幕上，可以通过按下[TRACE]软键来显示跟踪屏幕。
如何在 PMCDGN 界面下显示 TRACE （跟踪）参数界面？,在 PMCDGN 界面下，按软键 [TRACE] 可以显示 TRACE （跟踪）参数界面。
跟踪参数界面中有哪些参数可以设定？,跟踪参数界面中可以设定的参数包括跟踪模式、地址类型、地址、跟踪数据范围。
如何开始跟踪？,在跟踪参数界面下，按下 [EXEC] 软键可以开始跟踪，并清除跟踪存储器，指定信号的每次变化的状态都被存储下来。
跟踪存储器的容量是多少？,跟踪存储器有 256 个字节。
当跟踪存储器满时，如何继续存储状态？,在两个字节的跟踪中，若跟踪了 128 次，就再从存储器开头重复存储状态。
如何结束跟踪？,在跟踪参数界面下，按下 [STOP] 软键可以结束跟踪。
参数 K017 的第＃ 5 位设定如何影响跟踪？,参数 K017 的第＃ 5 位设定为 0 时，需要用软键 [EXEC] 开始跟踪；设定为 1 时，电源接通后会自动开始跟踪。
如何在 PMCPRM 界面中显示定时器界面？,在 PMCPRM 界面中，按软键 [TIMER] 可以显示定时器界面。
如何在 PMCPRM 界面中显示计数器界面？,在 PMCPRM 界面中，按软键 [COUNTR] 可以显示计数器界面。
如何在 PMCPRM 界面中显示保持继电器界面？,在 PMCPRM 界面中，按软键 [KEEPRL] 可以显示保持继电器界面。
如何在 PMCPRM 界面中显示数据表界面？,在 PMCPRM 界面中，按软键 [DATA] 可以显示数据表界面。
如何输入 PMC 参数？,"在 MDI 方式或紧急停止方式下，将设定界面的”写入参数”设为 1 或程序保护信号“KEY4”设为 1，然后按软键选择显示界面，按光标键移动光标到希望的号上，输入数值并按功能键 ""INPUT 输入数据，最后将设定界面的”写入参数”或“KEY4”复原为“0”。"
数据表包括哪些界面？,数据表包括数据表控制数据界面和数据表界面。在 PMCPRM 界面下，按软键 [DATA] 可以显示数据表设定界面。
如何在编好 PMC 顺序程序时进行本操作？,在编好 PMC 顺序程序时进行本操作。
设定 PMC 参数时，对内部参数有何影响？,设定 PMC 参数时，对内部参数没有影响。
如何使用软键 [DATA]？,使用软键 [DATA] 可以选择数据表的数据显示界面。
如何使用软键 [G.CONT] 和 [NO.SRH]？,使用软键 [G.CONT] 可以设定数据表的组数，使用软键 [NO.SRH] 可以把光标移到指定的组上。
如何使用软键 [INIT]？,使用软键 [INIT] 可以将数据表的设定初始化。
如何返回到数据表的数据设定界面？,使用软键 [C.DATA] 可以返回到数据表的数据设定界面。
当数控机床出现有关 PMC 方面的故障时，一般有几种表现形式？,当数控机床出现有关 PMC 方面的故障时，一般有三种表现形式：故障可通过 CNC 报警直接找到故障的原因；故障虽有 CNC 报警显示，但引起故障的原因较多，难以找出真正的原因。]
如何在 PMC 状态下判断开关量是否已输入？,"在 ""PMC 状态 中观察所需的输入开关量或系统变量是否已正确输入。如果没有，则检查外部电路。"
如何在 PMC 状态下判断开关量是否已输出？,在 PMC 状态中观察所输出开关量或系统变量是否正确。如果没有，则检查 CNC 侧并分析是否有故障。
如何检查相关电器元件的状态？,检查由输出开关量直接控制的电气开关或继电器是否动作。如果未动作，则检查连线或元件。检查由继电器控制的接触器等开关是否动作，如果未动作，也检查连线或元件。
如何检查执行单元状态？,检查执行单元，包括主轴电动机、步进电动机、伺服电动机等。
如何结合工作原理查找故障点？,答案1:观察PMC动态梯形图，并结合系统的工作原理查找故障点。
使用PLC检测数控机床故障时应注意哪些要点？,答案2:应注意以下几点：了解机床各组成部分检测开关的安装位置；了解执行机构的动作顺序；了解各种条件标志；借助必要的诊断功能，必要时用编程器跟踪梯形图的动态变化，搞清故障原因，根据机床的工作原理作出诊断。
根据什么进行PMC故障诊断？,答案3:根据故障号进行诊断。数控机床的PLC程序属于机床厂家的二次开发，当出现异常情况时，会发出相应的报警，在维修过程中，要充分利用这些信息。
什么信号在脚踏尾座开关被压下时变为“1”？,当脚踏尾座开关被压下时，输出信号 Y49.0 为 “1”。
在调出的 PLC 输入信号中，哪些信号为“1”？,在调出的 PLC 输入信号中，脚踏尾座开关输入 X04.2、尾座套筒转换开关 X17.3 和润滑油液面开关 X17.6 均为“1”。
当电磁阀 YV4.1 得电后，液压油经过哪些阀门进入尾座套筒液压缸？,当电磁阀 YV4.1 得电后，液压油经溢流阀、流量控制阀和单向阀进入尾座套筒液压缸。
压力继电器在何处起到作用？,压力继电器在尾座套筒向前时的油压中起到作用，使压力继电器常开触点接通，在系统 PLC 输入信号中 X00.2 为“1”。
在数控机床中，输入/输出信号的传递通常通过什么实现？,在数控机床中，输入/输出信号的传递通常都要通过 PLC 接口来实现。
如何根据 PLC 的梯形图诊断故障？,通过梯形图诊断故障是解决数控机床外围故障的基本方法。首先应搞清机床的工作原理、动作顺序和连锁关系，然后利用系统的自诊断功能或通过机外编程器，根据 PLC 梯形图查看相关的输入确让以文标志位的状态，从而确定故障原因。
如何利用系统显示器面板调出梯形图？,在 FANUC 系统中，可以利用系统显示器面板调出梯形图。
回转工作台的工作原理是什么？,根据回转工作台的工作原理，首先将工作台气动浮起，然后才能旋转，气动电磁阀 YV12 受 PLC 输出 Ql.2 控制。
回转工作台的旋转条件是什么？,加工工艺要求，只有当两个工位的分度头都在起始位置时，才满足回转工作台的旋转条件， 19. 7 、 110.6 检测信号分别反映两个工位的分度头是否在起始位置，正常情况下两者应该同步， F122.3 是分度头到位标志。
回转工作台出现不旋转故障的原因是什么？,从 PLC 的 PB20.10 中观察，由于 F97.0 未闭合，导致 Ql.2 无输出，电磁阀 YV12 不得电，继续观察 PB20.9 ，发现 F120.6 未闭合导致 F97.0 低电平。
什么是 F120.4 引起的故障原因？,答案：F120.4 为 “0” 引起 F120.6 未闭合。
什么是 F120.3 未闭合的原因？,答案：F120.3 未闭合的原因是 Fl22.3 未满足。
F122.3 为什么总是 “O”？,答案：F122.3 总是 “O” 是因为 PB21.4 中的 19.7 和 110.6 总是相反。
如何诊断动态跟踪梯形图？,答案：有些数控系统带有梯形图监控功能，可以通过调出梯形图画面来查看输入/输出点的状态和梯形图执行的动态过程。有些 PLC 在发生故障时，需要通过 PLC 动态跟踪，实时观察 I/O 及标志位状态的瞬间变化，根据 PLC 的工作原理作出诊断。
ATC 是什么？,答案：ATC 是数控机床加工中心的重要执行机构，它们的可靠性将直接影响机床的加工质量和生产率。
什么是 ATC，它在机床上起到什么作用？,ATC（Automatic Tool Changer）是指自动刀具交换装置，它在机床上起到自动交换刀具的作用，使得机床能够一次装夹完成多工序的加工。
ATC 的常见故障有哪些，这些故障会导致什么结果？,ATC 的常见故障包括刀库运动故障、定位误差过大、机械手夹持刀柄不稳定、机械手动作误差过大等。这些故障会导致换刀动作卡位，整机停止工作。
进行 ATC 故障维修时应注意什么？,进行 ATC 故障维修时应重视对现场设备操作人员的调查，并通过电路分析与信号、动作、定位、限位等有关环节的综合分析来判断故障所在，因此难度较大。
如何进行刀库和换刀机械手的维护？,进行刀库和换刀机械手的维护应注意以下几点：(1) 严禁把超重、超长的刀具装入刀库；(2) 顺序选刀方式必须注意刀具放置在刀库中的顺序要正确；(3) 用手动方式往刀库上装刀时，要确保装到位、牢靠；(4) 经常检查刀库的回零位置是否正确；(5) 要注意保持刀具刀柄和刀套的清洁。
开机时应检查哪些部分是否正常？,开机时应检查刀库和机械手空运行是否正常，各行程开关和电磁阀能否正常动作，机械手液压系统的压力是否正常，刀具在机械手上锁紧是否可靠。
刀库不能转动或转动不到位的可能原因有哪些？,刀库不能转动的可能原因有：CD连接电动机轴与蜗杆轴的联轴器松动；变频器故障；PLC无法控制输出；机械连接过紧或黄油黏涩；电网电压过低。刀库转动不到位的可能原因有：电机转动故障，传动机构误差。
刀套不能夹紧刀具的可能原因是什么？,刀套不能夹紧刀具的可能原因是：刀套上的调整螺母松动或弹簧太松，造成卡紧力不足；刀具超重。
刀套上下不到位的可能原因是什么？,刀套上下不到位的可能原因是装置调整不当或加工误差过大而造成拨叉位置不正确；因限位开关安装不准或调整不当而造成反馈信号错误。
刀套不能拆卸或停留一段时间后才能拆卸的可能原因是什么？,刀套不能拆卸或停留一段时间后才能拆卸的可能原因是操纵刀套的气阀是否松动、气压不足、刀套的转动轴是否锈蚀等。
刀具夹不紧的可能原因是什么？,刀具夹不紧的可能原因有风泵气压不足，增压漏气，刀具卡紧气压漏气，刀具松开弹簧上的螺帽松动。
什么情况下会导致主轴拉不住刀？,答：当拉钉与刀柄夹头间的螺纹连接松动时，刀柄夹头随着刀具的插拔发生旋转，时间一长，螺纹松动退丝，会出现主轴拉不住刀的现象。
如何解决刀具夹紧后松不开的问题？,答：逆时针旋松卡刀簧上的螺帽，使最大载荷不超过额定数值。
刀具从机械手中脱落可能是由于什么原因？,答：可能是刀具超重或机械手卡紧锁损坏或没有弹出来。
什么情况下会导致换刀时掉刀？,答：换刀时主轴箱没有回到换刀点或换刀点漂移，机械手抓刀时没有到位，就开始拔刀，都会导致换刀时掉刀。
机械手换刀速度过快或过慢可能带来什么问题？,答：机械手换刀速度过快或过慢都可能导致换刀不准确或出现故障。
产生故障的原因有哪些？,"(1) ""松刀感应开关失灵。"
在换刀过程中，如何确保各动作的顺序正确？,答案：在换刀过程中，各动作的完成信号均由感应开关发出，只有上一个动作完成后才能进行下一个动作。
如果“刀库松刀”和“主轴松刀”的感应开关未发信号，会发生什么情况？,答案：如果“刀库松刀”和“主轴松刀”的感应开关未发信号，则机械手“拔刀”电磁阀就不会动作。
“松刀”电磁阀失灵会导致什么问题？,答案：“松刀”电磁阀失灵会导致刀具与主轴的“松刀”无法完成，因为电磁阀无法接通液压缸来完成该动作。
如果液压系统压力不够或漏油，会导致什么问题？,答案：如果液压系统压力不够或漏油，会导致“松刀”液压缸不动作或行程不到位。
如果“拔刀”电磁阀失灵或“拔刀”液压缸有毛病，会导致什么问题？,答案：如果“拔刀”电磁阀失灵或“拔刀”液压缸有毛病，会导致机械手系统无法建立“拔刀”条件，从而导致换刀过程无法继续。
主轴系统包括哪些部件？,答案：主轴系统包括碟形弹簧、拉杆、锥套、钢球、拉钉、液压缸、顶杆和空心螺钉等部件。
刀具是如何在主轴锥孔中变“松”的？,答案：松刀时，液压缸的活塞杆顶压顶杆，顶杆通过空心螺钉推动拉杆，一方面使钢球松开刀具的拉钉，另一方面又顶动拉钉使刀具左移，从而在主轴锥孔中变“松”。
主轴系统不松刀的原因可能有哪些？,主轴系统不松刀的原因估计有四点：少刀具尾部拉钉的长度不够，拉杅尾部空心螺钉的位置发生变化，顶杆出了问题，主轴刀程序时才熄灭。
如何检查和排除主轴系统无法执行换刀第 4 步的问题？,由于结构设计上的缺陷，以下原因无法简便地检查确定：刀具取不出来，空心螺钉在主轴箱中，松刀液压缸不易拆卸。如果能方便地拆下液压缸，则修正液压缸端盖可增大液压缸行程，从而间接排除某些故障原因，可能一举解决“松刀”问题。
主轴系统出现问题时应该进行哪些步骤？,主轴系统出现问题时应该进行主轴系统的拆检与调整、将拆卸主轴系统时影响到的其他部位进行相应调整以及换刀参考点的检查与修正。
在哪些情况下必须检查 Y 坐标零点位置并作必要的修正？,在中刀库或机械手拆卸过、主轴箱拆卸过、Y 向挡块或限位开关拆卸过、Y 向感应同步器重新安装过以及 Y 向丝杠重新调过的情况下必须检查 Y 坐标零点位置并作必要的修正。]
如何进行重新检测并调整 NC 参数？,答案：令主轴箱回到 Y 坐标零点，测得其与换刀正确位置之间的差值为 5mm 左右，于是移动 Y 向回零挡块后再测，差值为 0.7mm 左右，已经接近，则将此差值以 1 0.001mm 为单位补入 NC 参数 ”#83” 中。
如何检查换刀的正确性？,答案：用手动方式分解换刀动作，检查换刀的正确性。
自动换刀运转时需要检查哪些情况？,答案：以自动换刀运转，检查主轴松紧刀、机械手松紧刀的情况，并应确保在主轴转动时，刀柄不与机械手相摩擦。
如何测试机床的连续自动换刀功能？,答案：使用考机程序，使机床进行 500 次连续自动换刀，要求不得出现任何故障。
当立式加工中心换刀臂平移至 C 时，无拔刀动作，如何诊断故障原因？,答案：观察机械装置的运动过程，比较正常与故障时的情况，发现疑点，诊断出故障的原因。
什么是自动换刀顺序，包括哪些步骤？,自动换刀顺序包括换刀臂左移、下降、右移、上升、再次右移、主轴液压缸下降、下降、从主轴拔刀、旋转180度、上升、装刀、主轴液压缸上升、左移、刀库转动、左移、再次右移和刀库转动等步骤。
如果换刀臂平移至C位置时无拔刀动作，可能的原因有哪些？,如果换刀臂平移至C位置时无拔刀动作，可能的原因包括SQ2无信号、松开接近开关SQ4无信号和电磁阀故障等。
