questions,answers
'G317’所定义的轴不在CNC的原因是什么？应该采取什么措施？,原因是程序中{}内的轴代码不是CNC类型的轴。解决方法是修改G317语句，在{}中仅插入CNC轴代码。
'G317’必须定义所有的CNC轴的原因是什么？应该采取什么措施？,原因是在{}中没有定义所有的CNC轴。解决方法是修改G317语句，将所有CNC轴代码插入{}中。
'G318’所定义的轴不在CNC的原因是什么？应该采取什么措施？,原因是在{}中的轴代码不是CNC类型的轴。解决方法是修改G318语句，在{}中仅插入CNC轴代码。
'G318’仅仅可定义3轴的原因是什么？应该采取什么措施？,原因是写在{}中数据复制器的轴不是3个。解决方法是修改G318语句，在{}中插入3个轴的代码。
'G319’不能定义2个连续的轴的原因是什么？应该采取什么措施？,原因是在{}中有2轴或更多连续轴的代码。解决方法是修改G318语句，在{}中按顺序写入轴代码。
'G319’被认可的字符中的轴编号、=、空格的原因是什么？应该采取什么措施？,原因是在{}中所编程的字符非法。解决方法是修改G319语句，在{}里仅可输入信息中允许的字符，包括轴编号、=、空格。
‘G319’中字符’=‘未被定义的原因是什么？应该采取什么措施？,原因是在{}中遗漏字符’=‘。解决方法是修改G319语句，在{}里将字符’='插入到正确的位置。
'G316’机床在动作中，不能转变轴类型的原因是什么？应该采取什么措施？,原因是轴在动作中，不可修改轴的类型。解决方法是在机床静止时，使轴同步运动以转变轴类型。
‘G316’字符不被认可的原因是什么？应该采取什么措施？,原因是在{}中被编程的字符非法。解决方法是修改G316语句，在{}中只允许输入轴编号、空格以及’，'。
'G316’三基本坐标轴不能为IND模式的原因是什么？应该采取什么措施？,原因是在{}中的三基本坐标轴不能变为IND模式。解决方法是修改程序，使不属于三基本坐标轴的轴变成IND（独立轴）。
在G32方式下编程G31或者G31方式下编程G32的原因是什么？应该采取什么措施？,原因是在执行G31或者G32时不能通过在G32或者G31的方式。解决方法是在G31/G32编程之前，在语句中增加G30功能的编程。
定义的偏差=0 (DT)的原因是什么？应该采取什么措施？,原因是探测器的探测循环中没有定义偏差(DT)。解决方法是在菜单F3(VCP)中输入偏差值或者用G38功能编程。
Z轴的探测器增量不被认可的原因是什么？应该采取什么措施？,原因是配置中输入的探测器增量不被认可。解决方法是修改配置中Z轴限定偏差参数。
X轴的探测器增量不被认可的原因是什么？应该采取什么措施？,原因是配置中输入的探测器增量不被认可。解决方法是修改配置中X轴限定偏差参数。
Y轴的探测器增量不被认可的原因是什么？应该采取什么措施？,原因是配置中输入的探测器增量不被认可。解决方法是修改配置中Y轴限定偏差参数。
G32方式下最大加工速度<2000 mm/min的原因是什么？应该采取什么措施？,原因是在G32方式下，所编程的加工速度太高。解决方法是修改程序中的F值。
Z轴探测器1限定超出范围的原因是什么？应该采取什么措施？,原因是得到的增量值超过了允许范围从0.5至1.5。解决方法是修改配置中Z轴限定偏差参数。
X轴探测器1限定超出范围的原因是什么？应该采取什么措施？,原因是得到的增量值超过了允许范围从0.5至1.5。解决方法是修改配置中X轴限定偏差参数。
Y轴探测器1限定超出范围的原因是什么？应该采取什么措施？,原因是得到的增量值超过了允许范围从0.5至1.5。解决方法是修改配置中Y轴限定偏差参数。
不可复制！确定探测器的零点的原因是什么？应该采取什么措施？,原因是增量探测器失去零基准。解决方法包括确定探测器的连接导线和重复增量测头的校准循环，按顺序按以下键: SHIFT-F9， F5， Del。
旋转头仅在G17方式的原因是什么？应该采取什么措施？,原因是运用G18或者G19功能编程时，摆头不在0度位置。解决方法是认可编程G18和G19功能，仅在摆头为0度时。
旋转摆头仅在G17方式下的原因是什么？应该采取什么措施？,原因是摆头的编程旋转G55、G56、G355、G356不在G17方式下。解决方法是摆头的这类旋转仅可在G17方式下。
用于文件M的CNC存储器的原因是什么？应该采取什么措施？,原因是在复制期间与CNC存储器发生冲突。解决方法是修改程序，删除管理文件中的所有M功能。
用于复制文件的CNC存储器的原因是什么？应该采取什么措施？,原因是M功能部分与CNC存储器发生冲突。解决方法是修改程序，删除所有的复制循环。
测量仪增量半径不被认可的原因是什么？应该采取什么措施？,原因是配置中测量仪的增量半径不被认可。解决方法是修改配置中的限定半径对零的偏差参数。
测量仪增量长度不被认可的原因是什么？应该采取什么措施？,原因是配置中测量仪增量长度不被认可。解决方法是修改配置中限定长度对零偏差参数。
测量仪限定长度超出范围的原因是什么？应该采取什么措施？,原因是得到的增量值超过了允许范围从0.5至1.5。解决方法是修改配置中限定长度。
测量仪限定半径超出范围的原因是什么？应该采取什么措施？,原因是得到的增量值超过了允许范围从0.5至1.5。解决方法是修改配置中限定半径偏差参数。
未执行PSA中的语句的原因是什么？应该采取什么措施？,原因是在半自动定位中输入一条新语句，而未执行之前的语句。解决方法是输入一条语句后，必须按下CNC执行后，再输入另一条新语句。
文件’GPF’最大长度30000字符的原因是什么？应该采取什么措施？,原因是想在GPF方式下，但文件长度超过允许范围。解决方法是使文件长度在允许尺寸之内，也可利用CNC中的快捷专用程序。
长文件运行存储器空的原因是什么？应该采取什么措施？,原因是程序的执行快于硬盘传输更快。解决方法是如果仍然存在此信息，则有可能PC有故障。
设定值(z)超过Z深度值的原因是什么？应该采取什么措施？,原因是想用超过深度Z值的参数执行固定循环G81等等（Z值加工路径按加工速度F执行）。解决方法是修改程序部分段中的语句，使Z设定值小于Z值。
文件名不正确的原因是什么？应该采取什么措施？,原因是在G349的语句中，要执行的文件名称不正确。解决方法是修改文件名，写在语句[]内。
长文件中的重复加工旋转指令’H’不被激活的原因是什么？应该采取什么措施？,原因是H功能在一超过125000（1M字节用于560系统）字符的长文件中。解决方法是用G349提供的功能检查程序。
PC图形功能不被激活的原因是什么？应该采取什么措施？,原因是开始图形测试程序，被锁定的PC不绘图。解决方法是PC解锁，进行绘图。
修改的语句不在文件中的原因是什么？应该采取什么措施？,原因是试图修改执行的文件中不存在的语句。解决方法是在输入修改期间，不能改变执行的文件。
复制或者M功能使用的存储器的原因是什么？应该采取什么措施？,原因是编程G349功能，存储器不被认可。解决方法是取消程序中所有复制语句和带M的记录。
指定执行的文件名称的原因是什么？应该采取什么措施？,原因是在G349语句中没有指定执行的文件名称。解决方法是修改G349语句，在[]内输入执行的文件名称。
'G349’语句已在执行中的原因是什么？应该采取什么措施？,原因是已编程的G349语句中，G349功能已经在运行中。解决方法是划分程序，不同时运行多个G349功能。
子程序存储器已满的原因是什么？应该采取什么措施？,原因是执行的子程序的存储器已满。解决方法是子程序存储器总量为32000字符（130000用于520系统），需要划分子程序。
扩展名.GPF无效的原因是什么？应该采取什么措施？,原因是G349调用的文件名称不能带扩展名.GPF。解决方法是修改G349调用的程序名称。
在G351方式下，编程激活G51的原因是什么？应该采取什么措施？,原因是不允许对两个旋转平移功能同时编程。解决方法是在G51编程之前，用G50功能编程退出G351功能。
在G51方式下，编程激活G351的原因是什么？应该采取什么措施？,原因是不允许对两个旋转平移功能同时编程。解决方法是在G351编程之前，用G50功能编程退出G51功能。
'G335’不能被编程的原因是什么？应该采取什么措施？,原因是’G335’和’G336’功能被保留在ELEXA。解决方法是不编程’G335’功能，选择其他可用功能。
'G362’网络轴未被定义{XY}的原因是什么？应该采取什么措施？,原因是定义在文件中的网络{XY}遗漏了轴编号。解决方法是修改’G362’语句，将轴编号写入{}中。
'G307’仪器长度没有被定义(KF28)的原因是什么？应该采取什么措施？,原因是长度标准刀=0用于测量刀具，但没有输入配置中的标准仪器长度(KF28)。解决方法是在配置中输入标准仪器的长度。
编程网络轴在第一语句中的原因是什么？应该采取什么措施？,原因是在文件中已确定的网络{}中遗漏了轴编号。解决方法是在文件的第一语句中必须定义轴的编号。
从原点改变坐标编程执行圆弧、N.U.R.B.S.曲线的原因是什么？应该采取什么措施？,原因是想以不属于元素上的一点开始执行圆弧或者N.U.R.B.S.曲线。解决方法是修改程序，在原点改变后的位置上插入元素开始的点。
循环补偿文件不正确的原因是什么？应该采取什么措施？,原因是循环补偿文件中的数值不等于40。解决方法是修改循环文件，输入正确的值40。
循环补偿值大于0.3的原因是什么？应该采取什么措施？,原因是循环补偿文件中的值大于0.1mm。解决方法是循环文件中的值不能大于0.1mm。
更新刀具表的参数出错的原因是什么？应该采取什么措施？,原因是通过PC修改了刀具表中的参数，但未在固定存储器中更新。解决方法是更换CPU-CN卡或者PC。
错误’stac’耗尽的原因是什么？应该采取什么措施？,原因是机床基本运作的缓冲器数耗尽。解决方法是反常的功能，按下SHIFT-F11键，更换CPU-CN卡。
恢复CNC运行，请等待的原因是什么？应该采取什么措施？,原因是恢复激活状态，CNC已暂停每项操作。解决方法是等待信息消失，否则检验软件的均一性或者更换PC。
在轮廓中不能功能编程的原因是什么？应该采取什么措施？,原因是未退出轮廓而用%程序结束符编程。解决方法是修改程序，在程序结束符%之前编程退出轮廓。
无效: 程序不正确的原因是什么？应该采取什么措施？,原因是想计算无数据的轨迹元素相切。解决方法是轮廓正确编程或者更换CPU-CN卡。
使探测器置于网络内部的原因是什么？应该采取什么措施？,原因是想用在网络外的探测器检查网络内部。解决方法是如果想检查网络内部，则在手动方式下，移动探测器至网络内部，再执行检查。
参数: 字符未知的原因是什么？应该采取什么措施？,原因是在表达式中定义的参数字符为不认可的。解决方法是修改参数定义语句，删除不认可的字符。
复制: 角度E恒定小于360度的原因是什么？应该采取什么措施？,原因是数据复制方式的复制角度不允许大于360度。解决方法是修改程序，输入一个小于360度的E值。
复制: 用无效的点定义的多边形的原因是什么？应该采取什么措施？,原因是形成网络的多边形未被定义。解决方法是修改程序，在多边形中至少输入3个点。
复制:将机床置于圆形扇区的原因是什么？应该采取什么措施？,原因是想用在圆形扇区外的探测器开始半径检查。解决方法是在手动方式下，移动探测器至圆形扇区内部点上。
复制:第一个多边形未被编程G362的原因是什么？应该采取什么措施？,原因是用G363或者G364编程而未定义网络。解决方法是在功能G363、G364编程之前，必须用G362功能对多边形编程。
复制:多边形的点数最多可为<=2000的原因是什么？应该采取什么措施？,原因是文件中编程的网络，在二维时超过2000点，在三维时超过1330点。解决方法是修改文件，减小网络点数。
太多’M’功能在自定义，最大能为300的原因是什么？应该采取什么措施？,原因是在文件C:\MACRO\EMUTEN.CNC中定义的M功能多于300。解决方法是修改文件，减小M功能的数目或者与ELEXA联系。
太多’G’功能在macro，定义能最大为100的原因是什么？应该采取什么措施？,原因是在文件C:\MACRO\GIUTEN.CNC中定义的G功能多于100。解决方法是修改文件，减小G功能的数目或者与ELEXA联系。
CNC配置为机械手ROBOT和机床MACCHINA的原因是什么？应该采取什么措施？,原因是CNC被定义的配置值为机械手ROBOT和机床MACCHINA。解决方法是修改被定义的配置，使CNC处于单一模式下。
机床不读取文件"SEND_RBT"干扰行的原因是什么？应该采取什么措施？,原因是由机械手ROBOT发送的文件在预先时间内不能到达机床MACHINE。解决方法是检查串行线路连接，例如ETHERNET、SERCOS等。
机床不写入文件"RECV_RBT"干扰行的原因是什么？应该采取什么措施？,原因是机床MACHINE在预先时间内不能将文件传输到机械手ROBOT。解决方法是检查串行线路连接，例如ETHERNET、SERCOS等。
机械手不读取文件"RECV_RBT"干扰行的原因是什么？应该采取什么措施？,原因是由机床MACHINE发送的文件在预先时间内不能到达机械手ROBOT。解决方法是检查串行线路连接，例如ETHERNET、SERCOS等。
机械手不传输文件"SEND_RBT"干扰行的原因是什么？应该采取什么措施？,原因是机械手ROBOT在预先时间内不能将文件传输到机床MACHINE。解决方法是检查串行线路连接，例如ETHERNET、SERCOS等。
驻留macro校验(CKSUM)出错的原因是什么？应该采取什么措施？,原因是驻留在存储器MACRO中的文件"G"被损坏。解决方法是关闭，然后再次开启机床，或者更换CPU-CN卡。
原点数最多 = 49的原因是什么？应该采取什么措施？,原因是编程一原点号码PA超过49。解决方法是修改程序，校正语句中的PA值。
指示原点/刀具的文件名[…]的原因是什么？应该采取什么措施？,原因是功能G327未指定支持的文件名。解决方法是修改程序，在[]中输入文件名。
错误，驻留的macro超过256 Kbytes的原因是什么？应该采取什么措施？,原因是驻留"G"文件的长度超过256 Kbytes。解决方法是文件GIUTEN.CNC中的CNC功能为驻留MACRO，必须减少数量。
摆头未被定位的原因是什么？应该采取什么措施？,原因是摆头位置与预先通过对零仪器所得到的位置不一致(SHIFT-F9， F4)。解决方法是旋转摆头使其定位在写入(SHIFT-F9， F4)的相同设定值处。
原点文件未找到的原因是什么？应该采取什么措施？,原因是用M360编程在G327语句[]中的文件不在磁盘中。解决方法是在磁盘中检查写在语句中的文件是否存在。
原点未更新的原因是什么？应该采取什么措施？,原因是用M360编程在G327语句[]中的原点文件在永久存储器中，但在CNC中不被激活。解决方法是更换CPU-CN卡。
原点未存储的原因是什么？应该采取什么措施？,原因是用M360编程在G327语句[]中的文件未被存储在磁盘上。解决方法是检验[]中的编程路径或者更换CPU-CN或者CPU-PC卡。
刀具文件未找到的原因是什么？应该采取什么措施？,原因是用M362编程在G327语句[]中的文件不在磁盘中。解决方法是在磁盘中检查写在语句中的文件是否存在。
刀具文件未更新的原因是什么？应该采取什么措施？,原因是用M362编程在G327语句[]中的刀具文件在永久存储器中，但在CNC中不被激活。解决方法是更换CPU-CN卡。
刀具文件未存储的原因是什么？应该采取什么措施？,原因是用M363编程在G327语句[]中的文件未被存储在磁盘上。解决方法是检验[]中的编程路径或者更换CPU-CN或者CPU-PC卡。
插入参数值的原因是什么？应该采取什么措施？,原因是要求操作者干涉。解决方法是已经对带有Pxxx = ?的语句编程，操作者必须遵循正确的步骤，插入参数值。
复制: 分段数 > 50的原因是什么？应该采取什么措施？,原因是在扇形数据复制方式下，多边形的分段数超过50。解决方法是修改两个多边形，减少点数并使其更类似于两个多边形的数据，执行标准为多边形的轨迹等距。
复制:网络上有超过2个的交叉点存在的原因是什么？应该采取什么措施？,原因是数据复制方式的方向与多边形的交叉超过2个点。解决方法是修改数据复制方式的角度或者增量长度，或者修改多边形使得只有2个交叉点。
复制:在网络必需2次交叉点的原因是什么？应该采取什么措施？,原因是数据复制方式的方向与多边形的交叉超过2个点。解决方法是修改数据复制方式的角度或者修改多边形使得只有2个交叉点。
存储器2出错的原因是什么？应该采取什么措施？,原因是PC存储器上发生致命错误。解决方法是用另一个功能模板更换PC模块，并从损坏的磁盘中抽出配置和MACRO功能文件。
等待网络连接的原因是什么？应该采取什么措施？,原因是在机械手robot和机床macchina之间的网络连接已经开始或者临时中断。解决方法是检查机械手robot和机床macchina之间的网络连接。
复制:转台轴必须旋转超过0的原因是什么？应该采取什么措施？,原因是在网络深度坐标<0时，执行工作台复制。解决方法是用大于旋转工作台中心点的一个较低点定义原点。
G360: 电机/螺旋柱的比例 = 0的原因是什么？应该采取什么措施？,原因是想执行NURBS曲线加工，但未设置电机与螺旋柱的比例。解决方法是修改配置，设置电机与螺旋柱之间的比例。
‘G360’: 不认可比例加工的原因是什么？应该采取什么措施？,原因是在执行G360功能时，想用G61功能执行工件的比例加工。解决方法是不允许修改程序部分段中的值。
‘G360’: 电机/螺旋柱比例未定义的原因是什么？应该采取什么措施？,原因是想执行NURBS曲线加工(G360)，但没有对电机比例编程。解决方法是在G360第一个语句{}中，必须写入指定电机的比例。程序’ripunti’在文件中自动插入写在’ripunti.dat’文件中的比例值。
‘G360’: 电机/螺旋柱比例不正确的原因是什么？应该采取什么措施？,原因是想执行NURBS曲线加工(G360)，在文件中指定的比例与配置中的比例相同。解决方法是重复操作’ripunti’，写入’ripunti.dat’中与配置中相同的电机轴的比例，不允许修改程序部分段中的值。
仅可在’G17’方式下执行的原因是什么？应该采取什么措施？,原因是CNC不在G17的方式下，想执行G360和/或者G347功能。解决方法是修改程序部分段，在执行G360和G347功能之前，先对G17功能编程。
‘G398’: 不认可转换原点的原因是什么？应该采取什么措施？,原因是在相同语句中，使用同一PA原点，执行G398功能。解决方法是修改程序部分段，在执行G398之前，先对转换原点PA编程。
点动探测器 ON-OFF 待校准的原因是什么？应该采取什么措施？,原因是想用未校准的点动探测器执行工件测量循环或者原点测量。解决方法是在每个测量循环之前进行点动探测器 ON-OFF 的校准，每次将探测器插入机床套筒中时必须进行校准。
原点/刀具文件不是文本文件 (.ASCII)的原因是什么？应该采取什么措施？,原因是指定在G327和M370或者M372语句[…]中的文件不为文本文件。解决方法是定义刀具尺寸或者原点坐标的文件只能为文本文件 (ASCII)。
原点数/刀具未知的原因是什么？应该采取什么措施？,原因是G327语句中[…]中文件的刀具号或者原点未知。解决方法是在文件中原点数可指定从0至49，刀具号可指定从1至200。
等待文件从磁盘传输的原因是什么？应该采取什么措施？,原因是执行临时中断以便从磁盘下载文件。解决方法是此信息将自动消失，否则检查和更换可能出现故障的PC。
无原点的定位的原因是什么？应该采取什么措施？,原因是机床的移动必须始终在有一原点的条件下进行。解决方法是修改移动语句指令的第一名，增加转换原点PA。
搜索方向必须按照Z轴向的原因是什么？应该采取什么措施？,原因是专用热敏仪器执行测量循环的探测器2配置出错。解决方法是修改探测器2的配置，指定搜索方向=z-。
当凸轮接合时圆柱体的半径为’0的原因是什么？应该采取什么措施？,原因是在3轴G541，G542凸轮校正循环程序出错。解决方法是修改程序部分段中的语句，在G541，G542语句中指定凸轮中部半径R。
无可利用的空间执行另一程序的原因是什么？应该采取什么措施？,原因是在执行的文件使存储器繁忙。解决方法是在执行的程序尺寸必须小于使能执行G349调用功能，尝试用G349功能调用程序，检查循环程序的长度必须为存储总量的一半以下 (认可记录用的点)。
指定行程极限不允许攻丝的原因是什么？应该采取什么措施？,原因是攻丝循环的深度坐标使轴超过了行程极限。解决方法是执行攻丝循环，直至在轴行程内再导入这样的坐标。
超过’G43’，'G541’轴的加速度的原因是什么？应该采取什么措施？,原因是编入语句G43，G44中的值/和QZ值使得Z轴加速度值超过可用加速度值。解决方法是降低振荡的频率(/)或者深度(QZ)。
‘G541’-'G542’定义轮轴编号 {…}的原因是什么？应该采取什么措施？,原因是在G541， G542循环{}中，缺少凸轮校正的轴代码。解决方法是在G541语句{}中编程，G542凸轮轴编号。
刀具半径(D)缺省或者小于实际值的原因是什么？应该采取什么措施？,原因是在G541-G542语句中未对半径值(D)编程或者这个值小于刀具参数表中所输入的值。解决方法是在G541-G542语句中所指定的D值编程执行标准，在凸轮面或者3轴圆柱体必须一直小于刀具参数中所输入的值。
模式 ‘G31’ 启动: 程序辅助功能禁用的原因是什么？应该采取什么措施？,原因是G1或者G2，G3的语句在G31模式下执行，编程M，S，T功能。解决方法是修改G1或者G2，G3语句，删除辅助功能，可以每个预先的快速定位功能中被编程。
不允许同时移动平行轴的原因是什么？应该采取什么措施？,原因是在相同语句中对两个不同编号的配置平行轴同时进行移动编程。解决方法是修改程序，将平行轴的动作分在两个独立的语句中。
文件 I/O:位置设置错误的原因是什么？应该采取什么措施？,原因是I/O (509)卡被插在刀盘中的位置与配置中的位置不一致。解决方法是在第一模板中有一用于插在第一个509卡上的键，配置中的位置应指定的位置:被指定的位置接近右边并认为= 0卡 502或者532的位置。
检查截平面: 定义2个截面的原因是什么？应该采取什么措施？,原因是所定义的截面数用于检查则不足。解决方法是必须在程序部分段中执行检查，至少定义2个截平面。
搜索刀具命令出错的原因是什么？应该采取什么措施？,原因是CU (Blum适用)不认可发送至机床的刀具号。解决方法是检查刀具号 (7位数)写入机床程序部分段中，检验机床所叫的刀具号换刀程序驻留CU程序是否已输入。
设置轴: 主轴头，转台平台标度的原因是什么？应该采取什么措施？,原因是在加工G31方式下，所配置的工作台、平台标度或者主轴头的方式错误。解决方法是在加工G31方式下，所运用的工作台、平台标度或者主轴头，必须先指定它们绕之转动的轴。
编程轴编号与配置不符的原因是什么？应该采取什么措施？,原因是被编程的轴编号未经验证。解决方法是经过验证的仅为经过配置的轴。
圆形截面最大角度 = 360 度的原因是什么？应该采取什么措施？,原因是想检查旋转工作台轴超过360度的圆形截面。解决方法是减小旋转工作台角度值于360度之内。
"SONDA"文件认可的值从0至63度的原因是什么？应该采取什么措施？,原因是在文件C.\MACRO\SONDAn.CNV中输入的T值超过了63度。解决方法是温度变化范围允许取值0至63度。
遗漏 “SONDA” 变换温度的文件的原因是什么？应该采取什么措施？,原因是在目录C:\MACRO里，不存有SONDAn.CNV文件。解决方法是当配置某些热电阻的测量通道时，必须将文件转换进入目录C:\MACRO里。
文件 “DILTERM” 编写不正确的原因是什么？应该采取什么措施？,原因是文件DILTERM编写不正确。解决方法是温度T的每个值应执行一个膨胀值D，以这个标准进行DILTERM文件的校正。
遗漏 “DILTERM” 变换温度的文件的原因是什么？应该采取什么措施？,原因是在目录C:\MACRO里，不存有文件DILTERM。解决方法是当配置某些热电阻的测量通道时，必须将膨胀值的文件转换进入到目录C:\MACRO里。
SERCOS装置不可用的原因是什么？应该采取什么措施？,原因是想建立Sercos连接，但Sercos装置不可用。解决方法是不能配置Sercos轴，因为遗漏硬件hardware。
光纤连接被中断的原因是什么？应该采取什么措施？,原因是Sercos光纤被中断。解决方法是检验每个连接中的光纤电缆是否正确连接，检查每个存储环是否接通。
循环时间可为2，3或者4毫秒的原因是什么？应该采取什么措施？,原因是Sercos中的时间不正确。解决方法是设置循环时间为1毫秒的倍数。
从动装置在相位1中不应答的原因是什么？应该采取什么措施？,原因是从动装置地址未接收到相位1的完整电报响应。解决方法是检查动作的个人化插件，及传输频率。
从动装置的地址不正确的原因是什么？应该采取什么措施？,原因是所设置的地址不响应任何的从动装置。解决方法是检查在配置中的地址，协调组成Sercos环的从动装置。
存储器3出错的原因是什么？应该采取什么措施？,原因是固定存储器的错误工作信息。解决方法是对于可能需要更换的存储器，可与公司联系。
复位ERR_CLASS1:SERCOS1在相位PHASE 1，2期间的原因是什么？应该采取什么措施？,原因是CNC部分发出指令，试图在驱动器上进行错误的复位。解决方法是当驱动器的错误被复位之后，该信息将会自动消失。
复位ERR_CLASS1:SERCOS2在相位PHASE 1，2期间的原因是什么？应该采取什么措施？,原因是CNC部分发出指令，试图在驱动器上进行错误的复位。解决方法是当驱动器的错误被复位之后，该信息将会自动消失。
分配参数仅能在G99方式的原因是什么？应该采取什么措施？,原因是参数值Pxxx=?必须通过在G99方式下的CNC系统进行分配。解决方法是修改程序部分段，清除语句Pxxx=?中的G31/G41功能。
复位 ERR_CLASS1:SERCOS1 在 PHASE 3，4 期间的原因是什么？应该采取什么措施？,原因是CNC部分发出指令，试图在驱动器上进行错误的复位。解决方法是当驱动器的错误被复位之后，该信息将会自动消失。
复位 ERR_CLASS1:SERCOS2 在 PHASE 3，4 期间的原因是什么？应该采取什么措施？,原因是CNC部分发出指令，试图在驱动器上进行错误的复位。解决方法是当驱动器的错误被复位之后，该信息将会自动消失。
操作等待 OK 的原因是什么？应该采取什么措施？,原因是环Sercos连接的操作使得在每次超动时都必须进行它们的自身文本循环。解决方法是如果驱动器起动正常，信息最多会在5秒钟之后消失，而且更换的N 0159将会消失。
在 {…}中指定工作台名称的原因是什么？应该采取什么措施？,原因是在程序中未指定工作台的名称。解决方法是在程序中使用合适的指令指定工作台的名称。
SERCOS 1 电报长度过长的原因是什么？应该采取什么措施？,原因是Sercos线传输的信息超过再进入的有效循环时间里。解决方法是减少第一个Sercos通道管理的构成连接的从动装置的数目，增加Sercos 1应用的配置中的机床循环时间。
不能执行命令的原因是什么？应该采取什么措施？,原因是驱动器显示，在配置中不执行发送的命令。解决方法是必须在再次发送给驱动器之前，取消每个命令。可能发送的命令不能恢复驱动器错误，因此必须关闭后再打开CNC。
PLC 的连续号太多的原因是什么？应该采取什么措施？,原因是机床逻辑程序预见超过100的顺序号。解决方法是修改机床逻辑程序，减少PLC的顺序号。
PLC 的参数不认可的原因是什么？应该采取什么措施？,原因是PLC想打开不认可的参数。解决方法是检查机床逻辑的打开是否在认可的参数中用于PLC从200至299。
在磁盘中刀具尺寸未被更新的原因是什么？应该采取什么措施？,原因是未执行磁盘中更新刀具尺寸的程序语句。解决方法是更换CPU-CN卡或者CPU-PC。
刀具在套筒中，不能执行套筒对零的原因是什么？应该采取什么措施？,原因是刀具在套筒中，想执行套筒的对零。解决方法是从套筒中卸刀，或者检查存在于微处理器中的刀具。
被测量的刀具不在套筒中的原因是什么？应该采取什么措施？,原因是未从刀库中取出刀具的情况下，执行该刀具的自动测量。解决方法是从刀库中取出刀具，或者检查存在于微处理器中的刀具。
Micro 1已经关闭的原因是什么？应该采取什么措施？,原因是移动应当激活Micro 1微动开关，但它已经关闭。解决方法是在不激活Micro 1的情况下执行机床定位或者检查Micro的输入(点动探测器ON-OFF等等)。
Micro 1已经打开的原因是什么？应该采取什么措施？,原因是移动应当激活Micro 1微动开关，但它已经打开。解决方法是在激活Micro 1的情况下执行机床定位或者检查Micro的输入(点动探测器ON-OFF等等)。
程序不为ISO文件的原因是什么？应该采取什么措施？,原因是试图在CNC的存储器里复制结构不为ISO格式的文件。解决方法是修改CNC存储器里需复制的文件格式。必须将文本文件(不为二进制的)通过字符的顺序"%CRLF"，CR = 0x0D，LF = 0x0A(编码ASCII = 250D0A)来完成。
磁盘满的原因是什么？应该采取什么措施？,原因是信息含义为在磁盘上的操作无结果。解决方法是若坚持更换PC，用于解决问题，需按信息的指示执行。
初始化DSP出错的原因是什么？应该采取什么措施？,原因是计算轴测量的DSP初始化方式错误。解决方法是修改轴感应式传感器周围的信号电压输入一特征值并执行信号的中心，修改测量通道的配置，更换轴测量卡(527或者537)。
测量未执行的原因是什么？应该采取什么措施？,原因是测量出错。解决方法是修改信号的振幅或者更换测量卡。
DSP常规错误的原因是什么？应该采取什么措施？,原因是测量出错。解决方法是检查轴的测量，包括测量卡、信号振幅、线路等等。
转换器+++的原因是什么？应该采取什么措施？,原因是从感应式传感器接收到的信号电压超过最大允许值。解决方法是减小感应式传感器的信号电容，检查定位以及在每轴行程上的感应式传感器所带电压是否正确。
转换器—的原因是什么？应该采取什么措施？,原因是从感应式传感器接收到的信号电压低过最小允许值。解决方法是增大感应式传感器的信号电容，检查定位以及在每轴行程上的感应式传感器所带电压是否正确。
灰色再定相位/感应的原因是什么？应该采取什么措施？,原因是感应式传感器的信号和从测量尺接收到的灰色磁道未再定相。解决方法是检验测量尺的装配是否正确，检验测量尺与CNC之间的连接。
修改数字轴编号的原因是什么？应该采取什么措施？,原因是建立了与前面不同的数字轴编号的配置。解决方法是必须先关闭机床，再开启，因为数字轴初始化的执行仅仅在机床开机时。
数字轴文件(.SCS)在S或者P后遗漏’-'的原因是什么？应该采取什么措施？,原因是C:\CONF_DIR中.SCS文件的ID编号未按正确方式输入。解决方法是ID号必须以此方式输入: S-0-0000。特殊情况下，在第一个S或者P之后，不存在符号(-)。
数字轴文件(.SCS)设置的参数>7的原因是什么？应该采取什么措施？,原因是C:\CONF_DIR中.SCS文件的ID编号未按正确方式输入。解决方法是ID号必须以此方式输入: S-0-0000。第一个符号(-)后面的数字必须包含在0至7之间。
数字轴文件(.SCS)在参数后遗漏’-'的原因是什么？应该采取什么措施？,原因是C:\CONF_DIR中.SCS文件的ID编号未按正确方式输入。解决方法是ID号必须以此方式输入: S-0-0000。在特殊情况下，在最后一个号码之前遗漏符号(-)。
数字轴文件(.SCS)二进制数不正确的原因是什么？应该采取什么措施？,原因是在C:\CONF_DIR的.SCS文件中所输入的值不正确。解决方法是ID号的值必须以二进制方式输入: 0b1000110。不必要输入所有16 bits(这样的一位已足够)。位置必须要注意。
数字轴文件(.SCS)十六制数不正确的原因是什么？应该采取什么措施？,原因是在C:\CONF_DIR的.SCS文件中所输入的值不正确。解决方法是ID号的值必须以二进制方式输入: 0xB567FC。
SERCOS1服务通道未被激活的原因是什么？应该采取什么措施？,原因是试图在未被激活的服务通道语句的从动装置中进行对话。解决方法是服务通道在从动装置相位2中被激活，然后每个对话操作且必须在这些相位下执行。
在元素0上存取无效的原因是什么？应该采取什么措施？,原因是试图读取或者输入一未指定ID号的值。解决方法是检验文件*.SCS中ID号之前是否有传输的值。
