questions	rewrite1	rewrite2	rewrite3	ture_answers
"故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统显示（数码管）混乱，机床无法正常开机。
"	数控滚齿机在开机后显示出（数码管）的混乱现象，导致机床无法正常启动。该机床配备的是SIEMENSPRIMO-S系统。	数控滚齿机在开机后，配套的SIEMENSPRIMO-S系统显示出现混乱，导致机床无法正常启动。	数控滚齿机配套的SIEMENSPRIMO-S系统在开机后显示出混乱的数码管，导致机床无法正常启动。	"分析及处理过程：SIEMENSPRIMO–S的数控系统是SIEMENS公司早期生产的经济型系统，系统结构非常简单，可以控制3轴，系统CPU为Intel8085。
检查系统硬件无故障，根据"
"故障现象：一台采用FANUC7T系统的数控立车，在输入较短的程序，如10个程序段时，系统能正常工作；但输入的程序大于30个程序段时，系统则出现T08000001报警。
"	当输入的程序只有10个程序段时，采用FANUC7T系统的数控立车能够正常运作；然而，如果输入的程序超过30个程序段，系统就会出现T08000001报警。	当输入的程序只有10个程序段时，采用FANUC7T系统的数控立车可以正常运行。但是，如果输入的程序超过30个程序段，系统就会出现T08000001报警。	当输入的程序段少于10个时，采用FANUC7T系统的数控立车可以正常运行；然而，如果输入的程序段超过30个，系统就会出现T08000001报警。	"分析及处理过程FS7系统的T08000001报警，为系统存储器的奇偶出错报警。由于它出现在输入加工程序时发生，所以初步判定故障原因在MEM板（即04GN71号板）上。
FANUC7系统的RAM由17片HM43152P芯片组成，通过对它们进行诊断，发现第一组和第二组的诊断数据在第10位上出现错误，说明第10位RAM芯片故障（该芯片位于MEM板的A36位置上）。更换后，故障排除，机床恢复正常。"
"故障现象：一台采用FANUC7T系统的数控车床，在输入加工程序时发现一旦输入
Fxxxx时，系统就显示输入无效。
"	在一台配备FANUC7T系统的数控车床上，当尝试输入加工程序时，我们遇到一个问题：一旦我们输入Fxxxx，系统就会显示输入无效。	在一台配备FANUC7T系统的数控车床上，当尝试输入加工程序时，如果输入以F开头的数字，系统会显示输入无效。	在一台配备了FANUC7T系统的数控车床上，当尝试输入加工程序时，我们注意到一旦输入以F开头的数字（例如Fxxxx），系统就会显示输入无效的信息。	"分析及处理过程FANUC7CT数控系统的MDI/DPL面板由键盘驱动电路、显示器及显示译码电路等部分组成。所有键盘上的按键均通过74LS07驱动器接到地址总线上，其中F、S、T、M、Q、M这6个字母键用同一芯片。
进一步检查发现按这6个键中任一键，都无输入显示，对该芯片外加+5V电源进行逻辑关系测试，结果发现该芯片损坏；更换芯片，故障排除。"
"故障现象：一台车床，配置FANUC10T系统，CRT无显示，主板上报警指示“B”，系统“AATCHDOG”灯亮。
"	一台配置了FANUC10T系统的车床出现了故障，表现为CRT显示器无显示，主板上的报警指示显示为“B”，同时系统中的“AATCHDOG”灯亮起。	一辆装有FANUC10T系统的车床出现故障，CRT显示屏没有显示出任何信息。主板上的报警指示显示为“B”，并且系统的“AATCHDOG”灯亮起。	一辆车床出现了问题，它装备了FANUC10T系统，但是CRT屏幕上没有显示出任何信息。主板上的报警指示显示出“B”，并且系统的“AATCHDOG”灯亮了起来。	分析及处理过程经检查，并通过互换处理确认，本机床的故障原因是主板存在故障。经更换主板（A16B–1010–0041），并对系统进行初始化处理，重新输入NC参数、PC参数后，机床即恢复正常工作。
"故障现象：某采用FANUC6M系统的卧式加工中心，当系统与计算机通过RS232口通信时，发生ALM086号报警（传送异常或!/O设备异常）、ALM085报警（读入数据的位数不对或波特率不对），以及传送的程序发生程序段丢失现象，且无规律性。
"	当通过RS232口通信时，一台采用FANUC6M系统的卧式加工中心出现了ALM086（传送异常或!/O设备异常）、ALM085（读入数据的位数不对或波特率不对）报警，同时还伴随着程序段丢失的无规律现象。	当通过RS232口将某卧式加工中心的FANUC6M系统与计算机连接通信时，系统出现ALM086号报警（传送异常或!/O设备异常）、ALM085报警（读入数据的位数不对或波特率不对）。同时，程序在传输过程中会发生程序段丢失的情况，且这种丢失现象并无规律可循。	当通过RS232口进行系统与计算机的通信时，一台采用FANUC6M系统的卧式加工中心出现了ALM086（传送异常或!/O设备异常）和ALM085（读入数据的位数不对或波特率不对）报警，同时还伴随着程序段丢失的无规律现象。	"分析及处理过程根据085、086号报警信息，首先检查了计算机和数控设备的通信配置，但未发现问题。然后检查了计算机和数控设备的输入、输出接口，发现接口亦正常，从而排除了设备故障的可能；检查QHCAM–APT通信软件，它在其他机床上工作正常，因此也不应存在问题。由此初步认为故障应在连接电缆上。
通过检查通信电缆，发现电缆存在短路现象，打开RS232通信插头，检查发现插头连接不良；重新焊好后，故障消除。
2.SIEMENS系统硬件故障维修6例"
"故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统无显示（数码管），机床无法正常开机。
"	数控滚齿机在开机后，其配套的SIEMENSPRIMO-S系统未显示（数码管），导致机床无法正常启动。	数控滚齿机配套的SIEMENSPRIMO-S系统在开机后没有显示（数码管），导致机床无法正常启动。	数控滚齿机配套的SIEMENSPRIMO-S系统在开机后无显示（数码管），导致机床无法正常启动。	"分析及处理过程：经检查，系统的电源输入正常，由于系统无任何显示，无法进行
CNC检查。
由于系统结构简单，打开系统后检测，发现系统CPU没有正常工作。考虑到系统简单，且CPU为通用型号，直接拆除CPU，而且为了方便今后维修，对CPU安装了插座。更换CPU后，数码管显示恢复正常，重新输入参数后，系统恢复正常。"
"故障现象：配套SIEMENSPRIMO–S的数控滚齿机，开机后系统显示（数码管）混乱，机床无法正常开机。
"	数控滚齿机配套的SIEMENSPRIMO-S系统在开机后显示混乱，导致机床无法正常启动。	数控滚齿机在开机后显示混乱，无法正常启动。该设备配套使用的是SIEMENSPRIMO-S系统。	数控滚齿机在开机后，配套的SIEMENSPRIMO-S系统显示出混乱的数码管，导致机床无法正常启动。	"分析及处理过程：根据SIEMENSPRIMO–S说明书，按住M键，同时接通数控系统电源，发现系统参数混乱；重新输入参数后，系统进行正常显示，机床恢复正常工作。
但在本例中经关机后，故障又重新出现，由此判断故障原因是系统的RAM无法记忆，测量系统电池发现只有0.5V左右，已经完全失效。
重新更换电池后，系统恢复正常。例92.PRIMO–S系统RAM故障维修
"
"故障现象：配套SIEMENS8M的进口加工中心，开机后系统无显示，机床无法正常开
机。
"	开机后，配套SIEMENS8M的进口加工中心系统无显示，导致机床无法正常开启。	开机后，配套SIEMENS8M的进口加工中心系统无显示，导致机床无法正常开启。	开机后，配套SIEMENS8M的进口加工中心出现系统无显示的问题，导致机床无法正常开启。	"分析及处理过程：检查系统各控制模块的状态指示灯，发现NC–CPU模块（MS100）
上的!/C与S报警灯亮，操作面板上的“FAULT”指示灯亮，表明系统硬件故障。
SIEMENS8M系统NC–CPU模块（MS100）上的!/C与S报警灯亮，通常与系统的位置测量模块（MS250）有关。维修时，通过互换法确认了以上判断。
取下该模块检查发现，其中的集成电路D186（74LS245）不良，更换同型号的集成电

路后，系统恢复正常工作。"
"故障现象：配套SIEMENS802D系统的数控铣床，开机时出现报警：ALM380500、
400015、400000、025201、026102、025202；驱动器显示报警号ALM599。
"	开机时，配备SIEMENS802D系统的数控铣床出现多个报警，包括ALM380500、400015、400000、025201、026102和025202。同时，驱动器显示的报警号为ALM599。	数控铣床在开机时出现了多个报警，包括ALM380500、400015、400000、025201、026102和025202。驱动器显示的报警号为ALM599。该铣床采用的是SIEMENS 802D系统。	当开启配备SIEMENS802D系统的数控铣床时，发生了多个报警：ALM380500、400015、400000、025201、026102和025202。同时，驱动器显示出ALM599的报警代码。	"分析及处理过程：根据系统诊断说明书，检查以上报警的内容如下：ALM380500：PROROnBUSDP驱动器连接出错；ALM400015：PROFIBUSDP!/O连接出错；
ALM400000：PLC停止；
ALM025201：驱动器1出错；
ALM025202：驱动器1出错，通信无法进行；
ALM026102：驱动器不能更新；
伺服驱动器ALM599：802D与驱动器之间的循环数据转换中断。
鉴于本机床的系统报警众多，维修时必须分清主次，否则维修工作将难以开展。根据以上报警内容与发生故障时的现象观察，首先进行了如下分析：
€开机时，伺服驱动器可以显示“RUN”，表明伺服驱动系统可以通过自诊断，驱动器的硬件应无故障。
#系统初始化完成后，驱动器“使能”信号尚未输出，系统就出现报警；并且，驱动器亦随之报警。
根据以上两点，可以暂时排除伺服驱动器的原因，而且由于伺服驱动的使能信号尚未加入，从而排除了由于电动机励磁产生的干扰，由此判定故障是由系统引起的。
€系统报警ALM400015（PROFIBUSDPI/O连接出错）与ALM400000（PLC停止）分
析，ALM40001（5PROFIBUSDPI/O连接出错）属于硬件故障报警，如果系统的I/O单元工
作正常，即使是ALM40000（0PLC停止），一般也不会引起系统产生硬件报警。
综合以上分析，报警的检查应重点针对I/O单元（PP72/48）进行。
经检查，该机床的I/O单元（PP72/48）指示灯“PO>ER”不亮，表明I/O单元无DC24V。测量外部供电DC24V正常，I/O单元内部全部熔断器都正常，由此初步判定故障原因在DC24V的输入回路或外部DC24V与I/O单元的连接上。
进一步检查I/O单元与外部24V的连接，发现I/O单元电源连接端子的接触不良，重新连接后，I/O单元的“PO>ER”、“READY”指示灯亮，系统报警消失，机床恢复正常工作。"
"故障现象：配套SIEMENS802D系统的数控铣床，开机时出现报警：ALM380500、
400015、400000、025201、026102、025202，驱动器显示报警号ALM599。

"	在配备有SIEMENS 802D系统的数控铣床开机时，出现了若干个报警：ALM380500、400015、400000、025201、026102、025202。同时，驱动器显示出ALM599的报警号。	在开机的时候，SIEMENS802D系统配套的数控铣床发生了故障，显示出ALM380500、400015、400000、025201、026102、025202这些报警代码，驱动器显示的报警号是ALM599。	在开机时，与SIEMENS 802D系统配套的数控铣床出现了多个报警，包括ALM380500、400015、400000、025201、026102和025202。此外，驱动器显示出ALM599的报警号。	"分析及处理过程：同上例，经检查，该机床1/0单元（PP72/48）指示灯“P0)ER”不亮，表明I/0单元无DC24V。测量外部供电DC24V正常，I/0单元内部全部熔断器都正常，由此初步判定故障原因在DC24V的输入回路或外部DC24V与I/0单元的连接上。检查I/0单元与外部24V的连接，发现I/0单元线路板上的电源连接端子上有DC24V，但在经过了熔断器F7后，24V电压消失。因单独测量熔断器F7正常，由此判定故障原因是熔断器F7接触不良引起的；进一步检查发现，线路板上的F7虚焊，重新焊
接后，I/0单元的“P0)ER”、“READY”指示灯亮，系统报警消失，机床恢复正常工作。

4.3.3系统外部干扰引起的故障维修10例

1.FANUC系统外部干扰引起的故障维修1例例96.11M系统主板报警“F”的故障维修
"
"故障现象：某配套SIEMENS3M的立式加工中心，在使用过程中经常无规律地出现“死机”、系统无法正常起动等故障。机床故障后，进行重新开机，有时即可以正常起动，有时需要等待较长的时间才能起动机床；机床在正常起动后，又可以恢复正常工作。
"	在使用配备SIEMENS3M的立式加工中心的过程中，时常出现无规律的“死机”和系统无法正常启动的故障。当机床出现故障后，重新启动有时能够正常启动，有时需要等待很长时间才能启动机床。然而，当机床正常启动后，它又可以恢复正常工作。	在使用配备SIEMENS3M的立式加工中心的过程中，经常出现无规律的“死机”和系统无法正常启动的故障。当机床出现故障后，重新启动有时可以正常启动，有时需要等待很长时间才能启动机床。当机床正常启动后，可以恢复正常工作。	在使用配备SIEMENS3M的立式加工中心时，时常出现无规律的“死机”和系统无法正常启动的故障。当机床发生故障后，尝试重新开机，有时能够立即正常启动，有时则需要等待较长时间才能启动机床。一旦机床成功启动，就能够恢复正常工作。	"分析及处理过程由于该机床只要在正常起动后，即可以正常工作；且正常工作的时间不定，有时可以连续进行数天，甚至数周的正常加工；有时却只能工作数小时，甚至几十分钟，故障随机性大，无任何规律可寻，此类故障属于比较典型的“软故障”。
鉴于机床在正常工作期间，所有的动作、加工精度都满足要求，而且有时可以连续工作较长时间，因此，可以初步判断数控系统本身的组成模块、软件、硬件均无损坏，发生故障的原因主要来自系统外部的电磁干扰或外部电源干扰等。

一般来说，数控系统、机床、车间的接地系统的不良；系统的电缆屏蔽连接的不正确；电缆的布置、安装的不合理；系统各模块的安装、连接、固定的不可靠等因数是产生“软故障”的主要原因。维修“软故障”时，应主要针对以上各方面进行必要的检查与诊断。在排除了以上基础工作缺陷造成“软故障”的原因后，维修时应重点针对系统的电源输入回路与外部电源进行。
根据以上分析，维修时首先对数控系统、机床、车间的接地系统进行了认真的检查，纠正了部分接地不良点；对系统的电缆屏蔽连接，电缆的布置、安装进行了整理、归类；对系统各模块的安装、连接进行了重新检查与固定等基础性的处理。
经过以上处理后，机床在当时经多次试验，均可以正常起动。但由于该机床的故障随机性大，产生故障的真正原因并未得到确认，维修时的试验并不能完全代表故障已经被彻底解决，有待于作长时间的运行试验加以验证。
实际机床在运行了较长时间后，经操作者反映，故障的发生频率较原来有所降低，但"
故障现象：某配套SIEMENS3M的加工中心，在使用过程中经常无规律地出现“死机”、系统无法正常起动等故障。机床故障后，进行重新开机，又可以恢复正常工作。	在使用配备SIEMENS3M的加工中心时，时常出现无规律的“死机”和系统无法正常启动的故障。当机床发生故障后，进行重新开机，又可以恢复正常运行。	在使用配备SIEMENS3M的加工中心期间，时常出现无规律的“死机”和系统无法正常启动等故障。当机床出现故障后，进行重新开机，又能够恢复正常运行。	在使用配备SIEMENS3M的加工中心时，时常出现无规律的“死机”和系统无法正常启动等故障。当机床出现故障后，进行重新开机，便可以恢复正常工作。	分析及处理过程机床
"故障现象：某配套SIEMENS3M的加工中心，在使用过程中经常无规律地出现

“死机”、系统无法正常起动等故障。机床故障后，进行重新开机，又可以恢复正常工作。"	在使用配备SIEMENS3M的加工中心时，时常出现无规律的故障，如“死机”和系统无法正常启动。当机床发生故障后，重新开机即可恢复正常工作。	在使用配备SIEMENS3M的加工中心时，时常出现无规律的“死机”和系统无法正常启动等问题。当机床发生故障后，通过重新开机，能够恢复正常运行。	在使用配备SIEMENS3M的加工中心时，时常出现无法预测的“死机”和系统启动故障。当机床发生故障后，通过重新开机，可以恢复正常运行。	分析及处理过程机床
"故障现象：某配套SIEMENS3M的加工中心，在使用过程中经常无规律地出现“死机”、系统无法正常起动等故障。机床故障后，进行重新开机，又可以恢复正常工作。
"	某SIEMENS3M配套加工中心在运行时常出现无规律的“死机”、系统无法正常启动等故障。当机床出现故障后，进行重新开机，又能够恢复正常工作。	在使用配备SIEMENS3M的加工中心时，时常出现无规律的“死机”和系统无法正常启动的故障。当机床出现故障后，通过重新开机，又可以恢复正常运行。	在使用配备SIEMENS3M的加工中心时，时常出现无规律的“死机”和系统无法正常启动等故障。当机床出现故障后，进行重新开机，又能够恢复正常工作。	分析及处理过程机床
"故障现象：某配套SIEMENS810M的立式加工中心，在使用过程中经常无规律地出现系统报警“3–PLC停止”、系统无法正常起动等故障。机床故障后，进行重新开机，又可以恢复正常工作，有时需要开、关机多次。
"	在使用配备SIEMENS810M的立式加工中心时，经常出现无法预测的系统故障，如“3-PLC停止”警报和系统无法正常启动。当机床发生故障后，重新启动可以恢复正常工作，但有时需要多次打开和关闭。	在使用配备SIEMENS810M的立式加工中心时，经常出现无规律的系统故障，如“3-PLC停止”警报和系统无法正常启动。当机床发生故障后，重新启动可以恢复正常工作，但有时需要多次开、关机。	在使用配备SIEMENS 810M的立式加工中心的过程中，系统经常出现无规律的故障，如“3-PLC停止”报警和无法正常启动等。当机床发生故障后，通过重新开机，有时可以恢复正常工作，但有时需要多次开、关机。	"分析及处理过程810M系统发生“PLC停止”报警的原因是机床PLC没有准备好，使得PLC的工作循环中断。在条件许可时，使用SIEMENSPLC编程器（如：PG740等）可以通过调用PLC编程器的“中断堆栈”（OUTPUTISTACK）功能，来进行故障的分析、诊断、关于“中断堆栈”（OUTPUTISTACK）的检查方法，可参见SIEMENS手册中有关PLC故障维修部分的内容。
鉴于当时的维修现场无SIEMENSPLC编程器，且考虑到机床只要在正常起动后，即可以正常工作，因此初步判断该机床数控系统本身的组成模块、软件及硬件均无损坏，发生故障的原因主要来自系统外部的电磁干扰或外部电源干扰等。
根据上例同样的分析，在基础性维修检查时发现数控系统的接地系统连接错误，系

统的主接地线在机床出厂时未正确连接，它是通过DC24V的OV线接入电柜内的接地铜排，形成了接地环流，影响了系统的正常工作。在纠正了接地线后，机床恢复正常工作。"
"故障现象：某配套SIEMENS810M的立式加工中心，在使用过程中经常无规律地出现系统报警“3–PLC停止”、系统无法正常起动等故障。机床故障后，进行重新开机，又可以恢复正常工作，有时需要开、关机多次。
"	在使用配备SIEMENS 810M的立式加工中心时，系统经常出现无规律的故障，如“3-PLC停止”报警和无法正常启动。当机床出现故障后，重新开机可以恢复正常工作，但有时需要多次开关机。	在使用配备SIEMENS810M的立式加工中心时，系统经常出现无规律的故障，如“3-PLC停止”报警和无法正常启动等。当机床出现故障后，重新开机可以恢复正常工作，但有时需要多次开、关机。	在使用配备SIEMENS810M的立式加工中心时，系统常常出现无规律的故障，如“3-PLC停止”报警和无法正常启动等。当机床发生故障后，重新启动便可以恢复正常运行，但有时需要多次开关机。	"分析及处理过程故障分析过程同上例，故障属于“软故障”，发生故障的原因主要来自系统外部的电磁干扰或外部电源干扰等。
经过对系统的电源检查发现，该机床的直流DC24V输入电压虽然在正常范围，但经示波器测量发现输出波形中的交流脉动较大，因此初步判断电源的波动可能是导致系统“死机”的原因。维修采用了标准的稳压电源取代了系统中的二极管桥式整流电路，机床故障被排除。"
"故障现象：配套SIEMENS802D系统的数控铣床，开机时出现报警：ALM380500，驱动器显示报警号ALM504。
"	数控铣床在开启时发生故障，显示ALM380500报警，驱动器的报警号为ALM504，该铣床采用的系统为SIEMENS802D。	数控铣床在开机时显示出ALM380500报警，配套的SIEMENS802D系统驱动器显示出ALM504报警号。	在开机时，配备SIEMENS802D系统的数控铣床发生了故障，显示出ALM380500的报警信息，同时驱动器也显示出ALM504的报警号。	"分析及处理过程：驱动器ALM504报警的含义是：编码器的电压太低，编码器反馈监控失效。
经检查，开机时伺服驱动器可以显示“RUN”，表明伺服驱动系统可以通过自诊断，驱动器的硬件应无故障。经观察发现，每次报警都是在伺服驱动系统“使能”信号加入的瞬间出现，由此可以初步判定，报警是由于伺服电动机加入电枢电压瞬间的干扰引起的。
重新连接伺服驱动的电动机编码器反馈线，进行正确的接地连接后，故障清除，机床恢复正常。
3.KND系统外部干扰引起的故障维修2例例104.100M电源干扰引起的故障维修
"
"故障现象：某配套国产KND100M的数控落地镗床（数控化改造机床），在使用过程中经常无规律地出现系统报警“-ATCHDOG”、系统无法正常起动等故障。机床故障后，只要进行一次重新开机，一般可以恢复正常工作；但有时需要开、关机多次或对系统的连接插头进行几次插、拔操作，系统报警才能消除。
故障分析过程同上例，经过检查确认：数控系统、机床、车间的接地系统，系统的电缆屏蔽连接，电缆的布置、安装，系统各模块的安装、连接、固定均符合要求，排除了以上基础工作缺陷造成“软故障”的原因。
进一步检查发现：在机床正常工作时，系统电源模块的输出电压DC5V电压值为4.9V左右，其值偏低，它可能是导致系统工作不正常的主要原因。维修时对系统电源模块的输出电压进行了调整，考虑到该机床的各类连接电缆均较长（长度在20M左右），为了保证编码器侧的DC5V达到规定的电压值，实际调整电源模块的输出DC5V电压为5.1V左右。调整后经长时间的运行证明，系统报警“-ATCHDOG”不再出现，机床故障被排除。
维修体会与维修要点：
数控机床在使用过程中经常无规律地出现“死机”、系统无法正常起动等故障，若重新开机，又可以恢复正常工作：而数控系统本身的组成模块、软件及硬件均无损坏；在正常工作期间，机床所有的动作、加工精度都满足要求。此类故障由于随机性大，一般无

任何规律可寻，通常被称为系统“软故障”。
由于故障的随机性与偶发性，要根据"	"在使用配套国产KND100M的数控落地镗床（数控化改造机床）期间，经常出现无规律的系统报警“-ATCHDOG”和无法正常启动等问题。尽管故障发生后，通过重新开机通常可以恢复正常工作，但有时需要多次开、关机或插拔系统的连接插头才能消除报警。

在故障分析过程中，已检查确认了数控系统、机床、车间的接地系统，系统的电缆屏蔽连接，电缆的布置和安装，系统各模块的安装和连接等，均符合要求，从而排除了这些基础工作缺陷导致“软故障”的可能性。

进一步检查发现，当机床正常工作时，系统电源模块的输出电压DC5V电压值约为4.9V，偏低，可能是导致系统工作不正常的主要原因。在维修过程中，对系统电源模块的输出电压进行了调整，考虑到该机床的电缆连接长度较长（约为20M），为了确保编码器侧的DC5V达到规定的电压值，实际调整电源模块的输出DC5V电压为5.1V左右。调整后，经过长时间的运行，系统报警“-ATCHDOG”不再出现，机床故障被排除。

维修体会与维修要点：

当数控机床在使用过程中频繁出现“死机”、系统无法正常启动等故障，若重新开机又可以恢复正常工作，同时数控系统本身的组成模块、软件及硬件均无损坏，在正常工作期间，机床的所有动作和加工精度都满足要求，这类故障通常被称为系统“软故障”。

由于"	"当使用一款采用国产KND100M数控系统的落地镗床（经过数控化改造）时，会不定期出现“-ATCHDOG”系统警报和无法正常启动的问题。在机床发生故障后，通常只需重新开机一次即可恢复正常工作；但有时需要多次开关机或多次插拔系统连接插头以消除警报。

在分析故障时，已经检查并确认了以下内容：数控系统、机床和车间的接地系统、系统的电缆屏蔽连接、电缆的布置和安装、系统各模块的安装和固定都符合要求，从而排除了基础工作缺陷导致“软故障”的可能性。

进一步检查发现，当机床正常工作时，系统电源模块的输出电压DC5V电压值在4.9V左右，偏低，可能是导致系统工作不正常的主要原因。在维修时，对系统电源模块的输出电压进行了调整。考虑到机床的各类连接电缆较长（约20M），为了确保编码器侧的DC5V电压符合规定，实际调整电源模块的输出DC5V电压至5.1V左右。调整后经过长时间运行，系统不再出现“-ATCHDOG”警报，机床故障得以排除。

维修体会与维修要点：
数控机床在使用过程中经常出现无规律的“死机”和无法正常启动的问题。如果重新开机，可以恢复正常工作；而数控系统本身的组成模块、软件和硬件都没有损坏；在正常工作期间，机床的所有动作和加工精度都符合要求。此类故障由于随机性和偶发性较大，通常被称为系统"	"在使用国产KND100M数控落地镗床（数控化改造机床）的过程中，经常出现无规律的系统报警“-ATCHDOG”和无法正常启动等问题。当发生故障时，通过重新开机一般可以恢复正常工作，但有时需要多次开关机或插拔系统连接插头，才能消除报警。

故障分析过程与上例相同。经过检查，确认数控系统、机床、车间的接地系统、系统的电缆屏蔽连接、电缆的布置和安装、系统各模块的安装和连接均符合要求，从而排除了基础工作缺陷导致“软故障”的原因。

进一步检查发现，在机床正常工作时，系统电源模块的输出电压DC5V为4.9V左右，电压偏低，可能是导致系统工作不正常的主要原因。在维修过程中，我们调整了系统电源模块的输出电压，考虑到机床的各类连接电缆较长（长度约为20米），为了确保编码器侧的DC5V达到规定的电压值，实际调整电源模块的输出DC5V电压为5.1V左右。调整后，经过长时间运行，系统报警“-ATCHDOG”不再出现，机床故障得到排除。

维修体会与维修要点：

当数控机床在使用过程中经常无规律地出现“死机”、系统无法正常启动等故障，重新开机后又能恢复正常工作，而数控系统本身的组成部分、软件和硬件均无损坏，在正常工作期间，机床的所有动作和加工精度都满足要求时，此类故障通常被称为系统“软故障”。

由于此类故障具有随机性和偶发性，需要"	"故障现象直接判断引起“软故障”的真正原因往往比较困难；在有些场合，甚至到了机床故障完全排除、机床恢复正常工作后都未能真正确认引起“软故障”的根本原因。因此，“软故障”的维修是数控机床维修过程中的一大难题。
数控机床发生“软故障”的原因很多，归纳起来主要有以下几个方面：
1）系统软件的不成熟、不可靠（多见于国产系统或进口的开发、试用期系统）。
2）系统硬件元器件的质量不稳定或线路设计不成熟、可靠性差（多见于国产系统）。
3）机床电气控制线路的设计不合理，接地系统、屏蔽系统的设计、安装不规范，电气线路安装、施工不规范（多见于国产机床）。
4）系统的外部环境较差，不能满足数控机床对环境的要求。
5）来自系统外部电源的干扰，等等。
以上原因中的1、2、3点，在进口机床或进口系统上，一般都不存在此类问题，但在国产系统、国产机床上却是比较普遍的问题，它也是影响国产数控系统、数控机床可靠性的原因之一。特别是1、2两点，只能通过更换系统才能彻底解决问题。
对于3、4、5点，通常通过认真、仔细的维修可以得到解决。因此，当发生数控机床“软故障”时，一般来说，可以先从以下几个方面进行基础性检查：
€检查数控系统、机床、车间的接地系统。数控机床的接地系统必须为单点接地系统；车间、机床、系统的接地必须可靠，接地线线径必须达到规定的要求。
""系统电缆屏蔽的连接必须正确，屏蔽地的连接必须符合要求。
€电缆的布置、安装必须合理。
$系统各模块的安装、连接、固定必须可靠，等等。
在排除了以上基础工作缺陷造成“软故障”的原因后，维修时应重点针对系统的电源输入回路与外部电源进行。通常的检查内容有：
€电源电压必须在系统要求的范围内。
""当系统使用直流电源时（特别是对于SIEMENS系统），直流电源的电压值、纹波系数等必须满足系统的要求。
€必须消除、减小外部因数对系统电源的干扰与冲击等方面的影响，在干扰无法避免时，必须通过采取必要的措施，尽可能予以减小。"
"故障现象：一台日本进口数控车床，配套FANUC10TE系统，开机后CRT上出现以

下显示：


FS10TE1399BROMTSETENDRAMTEST

此后，不再进行其他页面的显示。
"	"当开启一台配有FANUC10TE系统的日本进口数控车床时，CRT屏幕上显示出以下内容：


FS10TE1399BROMTSETENDRAMTEST

随后，屏幕将不会再显示任何其他页面。"	"当开启一台配备FANUC10TE系统的日本进口数控车床时，CRT屏幕上显示出如下信息：

FS10TE1399BROMTSETENDRAMTEST

自此以后，屏幕上不会再显示其他页面。"	"在一台日本产的数控车床上，开机后，与FANUC10TE系统配套的CRT上出现了以下内容的显示：


FS10TE1399BROMTSETENDRAMTEST

随后，它不再显示出其他页面。"	"分析及处理过程：上述显示表示，系统开机时的RAM测试未通过。对此类故障，一般情况下，是由于系统PC、NC参数出错或RAM故障引起的。
经了解本机床在发生故障前，曾经更换了系统的电池，为此，可以认为故障是由于更换电池引起的。进一步检查发现，该机床的电池存在接触不良，从而造成了参数丢失，重新安装电池，输入参数后，机床恢复正常。"
"故障现象：某配套SIEMENS810M的立式加工中心，在PLC程序调试时，发现PLC功能模块FB62无法运行。
"	问题描述：在对配备有SIEMENS 810M的立式加工中心的PLC程序进行调试时，发现PLC功能块FB62无法运行。	在对配备有SIEMENS810M的立式加工中心进行PLC程序调试过程中，我们发现PLC功能模块FB62无法正常运行。	在对配备SIEMENS 810M的立式加工中心进行PLC程序调试期间，我们注意到PLC功能模块FB62无法正常运行。	"分析及处理过程：SIEMENS810M系统的PLC功能模块FB62的作用是进行PLC与CNC之间的数据交换与传送，该功能通常用于机床制造厂家，以实现特殊控制动作。通过本功能可以将PLC数据直接写入CNC的R参数中，同样PLC程序亦可以直接读取CNC的R参数。
在SIEMENS810M系统中，PLC数据与CNC的数据传送为选择功能，它需要通过指定的参数予以生效。该参数为NC–MD5015bit0，当NC–MD5015bit0＝1时，功能允许。在本机床上，通过设定以上参数后，PLC与CNC间的数据传送正常。"
"故障现象：一台采用SIEMENS3TT的数控铣床，在开机回参考点时，出现报警
ALM22“2CONTROLLOOPNOTREADY”报警。
"	在启动一台配备了SIEMENS 3TT的数控铣床时，出现了ALM22“2CONTROLLOOPNOTREADY”报警。	在启动一台配有SIEMENS 3TT的数控铣床时，碰到了报警情况ALM22“2CONTROLLOOPNOTREADY”。	在开机回参考点时，一台采用SIEMENS3TT的数控铣床出现了ALM22“2CONTROLLOOPNOTREADY”报警。	"分析及处理过程：该机床伺服驱动采用的是西门子6SC610交流伺服驱动系统，检查伺服驱动系统，发现Z轴的控制板（N1）上V11和G0板上的V1灯亮。
根据以上"
"故障现象：某配套FANUC0M的加工中心，开机时显示“NOTREADY”，伺服电源无法接通。
"	在一台配备FANUC0M的加工中心中，开机时出现了“NOTREADY”的显示，导致伺服电源无法开启。	当开机时，一台配备FANUC0M的加工中心显示“NOTREADY”，并且伺服电源无法启动。	一台配备了FANUC0M的加工中心在开机时显示出“NOTREADY”，并且伺服电源无法开启。	"分析及处理过程：FANUC0M系统引起“NOTREADY”的原因是数控系统的紧急停止“*ESP”信号被输入，这一信号可以通过系统的“诊断”页面进行检查。
经检查发现PMC到CNC急停信号（DGN121.4）为“0”，证明系统的“急停”信号被输
入。
再进一步检查，发现系统I/O模块的“急停”输入信号为“0”，对照机床电气原理图，
检查发现机床刀库侧的手动操纵盒上的急停按钮断线，重新连接，复位急停按钮后，再按Reset键，机床即恢复正常工作。"
